region,base_block,big_group,plot_order,side,n_rois,n_cells,n_dca_cells,mean_DCA,median_DCA,mean_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,mean_PreDCA,mean_PreDCA_negative,mean_PreDCA_positive,mean_Log10_OutInput_degree,mean_OO_fraction,n_postdca_cells,n_predca_cells,n_oo_cells,mean_mapping_confidence,unit,side_key,weighted_mean_PostDCA_positive,mean_PostDCA_positive_figure15
AL_R,AL,olfactory system,0,R,23,2608,2608,-0.0004501606873249036,0.0,0.056154580774388875,0.06693630011948969,0.03563536791171529,0.14568324507684,0.03498944319993703,0.180672688276777,0.40710621946087194,0.3711851594333449,2464,1504,2464,0.9849493712215771,matched41,AL_R,0.0669363001194896,0.0669363001194896
LH_R,LH,olfactory system,1,R,14,883,883,-0.0038315285602107388,-0.0026945406635897,-0.0006085538974333505,0.015880788129262052,0.0080922848997061,-0.0037412126841855457,0.02355665770387959,0.019815445019694043,0.2634149895328913,0.21391143723278971,869,759,869,0.689672012879583,matched41,LH_R,0.015880788129262,0.015880788129262
MB_R,MB,mushroom body,2,R,16,2148,2148,0.01479737512549384,0.0096849784307864,-0.12521921102850772,0.05411194003681179,8.62334964177943e-08,0.07885196971920554,0.0030559898700769877,0.08190795958928251,-0.25185082162969347,0.19388076201062326,1744,2080,1744,0.40875492398595237,matched41,MB_R,0.0541119400368117,0.0541119400368117
AVLP_R,AVLP,optic/lateral protocerebrum,3,R,28,2172,2172,0.0015292947974041781,0.00053484263994835,-0.005106436690613592,0.02206409960382563,0.007476479228503344,0.005641362723154682,0.010909059436452774,0.016550422159607458,-0.04026707338825197,0.3487519979741278,1954,1776,1954,0.7343042661906756,matched41,AVLP_R,0.0220640996038256,0.0220640996038256
ICL_R,ICL,optic/lateral protocerebrum,4,R,8,555,555,0.0023333783589819797,1.5522565850796698e-16,0.0022242635918467233,0.014220834523240142,0.005492239227002907,-0.01567445120179586,0.024512788658081198,0.00883833745628534,-0.12545710971308985,0.2650779642408256,523,532,523,0.5858062218790072,matched41,ICL_R,0.0142208345232401,0.0142208345232401
LO_R,LO,optic/lateral protocerebrum,5,R,40,13874,13874,0.00028372637201015357,1.8092510220601898e-17,0.004110708215866434,0.01194750886786649,0.0011224684927650086,0.0017510190294356648,0.00400745662726595,0.005758475656701615,0.005602580840413353,0.414743417216865,11532,9721,11532,0.8501190356744897,matched41,LO_R,0.0119475088678664,0.0119475088678664
ME_R,ME,optic/lateral protocerebrum,6,R,129,31830,31830,2.2381801046432258e-05,4.2627870090753235e-07,-0.00039667328743697223,0.006216792008969355,0.000397495172175534,-0.004332224714713032,0.008731573961530015,0.004399349246816985,0.273772131577358,0.33648285666721794,21836,14962,21836,0.8588003935924369,matched41,ME_R,0.0062167920089693,0.0062167920089693
OTU_R,OTU,optic/lateral protocerebrum,7,R,3,516,516,0.018941237220754525,0.01734640247921115,-0.0075090019444148896,0.0151695582829395,0.004574463910025106,-0.02584698696370901,0.030371719135552113,0.004524732171843099,-0.35416265239063477,0.4136447656275168,461,495,461,0.6716676663774858,matched41,OTU_R,0.0151695582829394,0.0151695582829394
PLP_R,PLP,optic/lateral protocerebrum,8,R,15,1281,1281,0.0008509111053925965,4.678504377515653e-06,-0.02106792448025762,0.01822396015278434,0.00863020207076377,-0.015353608084032423,0.023270548615558342,0.007916940531525918,-0.07471419612171876,0.3819252443430352,1245,1240,1245,0.6265558351546513,matched41,PLP_R,0.0182239601527843,0.0182239601527843
PVLP_R,PVLP,optic/lateral protocerebrum,9,R,17,779,779,0.011833690889078785,0.0001651436112197,0.009406944856692998,0.019022310765032746,0.013556395514306211,-0.016610659097088875,0.022640272742015435,0.0060296136449265614,-0.0870653754911453,0.5387473556838729,777,776,777,0.5618858943691621,matched41,PVLP_R,0.0190223107650327,0.0190223107650327
WED_R,WED,optic/lateral protocerebrum,10,R,1,789,789,0.00114411187717683,0.0,0.0018852715074512535,0.01293544966956902,0.005038727722569429,0.006020152274199413,0.0039069299947441846,0.009927082268943599,0.24971902728144246,0.32775072552998974,756,690,756,0.7920838311249557,matched41,WED_R,0.012935449669569,0.012935449669569
SIP_R,SIP,superior protocerebrum,11,R,6,204,204,0.0005801079887404457,0.0,-0.026860709363876696,0.011335190571311741,0.004432131814977285,-0.0033002991644104623,0.020002428076244833,0.016702128911834372,0.03523065017480339,0.20658373113315437,200,197,200,0.45030186981550024,matched41,SIP_R,0.0113351905713117,0.0113351905713117
SLP_R,SLP,superior protocerebrum,12,R,22,2109,2109,0.001557485254822254,3.943850959086043e-05,0.003032188244531047,0.021567144722360695,0.007490901075891086,0.010446043148162979,0.01865574025001126,0.029101783398174236,-0.053504891429646054,0.29773257924641805,1772,1734,1772,0.7158258815251507,matched41,SLP_R,0.0215671447223606,0.0215671447223606
SMP_R,SMP,superior protocerebrum,13,R,21,2223,2223,0.0024713036258836247,0.0001367879316448,0.0035258651882899314,0.024979089873831007,0.003241251478192926,-0.006844996458685904,0.019117901460073743,0.012272905001387842,-0.09879206181154405,0.33495056531927614,1858,1967,1858,0.6658621599437181,matched41,SMP_R,0.0249790898738309,0.0249790898738309
SPS_R,SPS,superior protocerebrum,14,R,12,1338,1338,0.002592490418520893,0.00033486635593375,-0.003804817920728537,0.01855318811366717,0.00846673842923985,0.0005749492867045039,0.012590090351687759,0.013165039638392263,-0.1367483148663914,0.4217757249101971,1191,1221,1191,0.6784913277173099,matched41,SPS_R,0.0185531881136671,0.0185531881136671
ATL_R,ATL,inferior/ventrolateral protocerebrum,15,R,1,23,23,-0.007673547361276579,1.6035080493090552e-18,-0.022857583645851456,0.0076843012696145825,0.003874874468931152,-0.0163343416922015,0.04428004699311355,0.027945705300912064,-0.12531420850938985,0.24674230867022628,23,23,23,0.4472311220942201,matched41,ATL_R,0.0076843012696145,0.0076843012696145
CRE_R,CRE,inferior/ventrolateral protocerebrum,16,R,8,741,741,0.0005657400160054958,0.0,-0.02425095601054753,0.011210897585465097,0.002355510168660625,-0.004596197342831208,0.01844830373606177,0.01385210639323056,-0.041754985627368964,0.23271415428978956,699,719,699,0.5888465443156257,matched41,CRE_R,0.011210897585465,0.011210897585465
EPA_R,EPA,inferior/ventrolateral protocerebrum,17,R,1,6,6,0.0,0.0,-0.006573797173747521,0.014347098754916642,0.012166406856165202,-0.003681199480192855,0.008135104158582963,0.004453904678390108,0.09476098317589764,0.10909090909090909,5,5,5,0.40536775259003505,matched41,EPA_R,0.0143470987549166,0.0143470987549166
IB_R,IB,inferior/ventrolateral protocerebrum,18,R,4,127,127,0.0013062811931777148,0.0,0.017902571758387918,0.0364638376026453,0.010161726043227707,-0.0030544950063655374,0.011170878171200464,0.008116383164834927,-0.0067678763038418145,0.19945868586028767,120,120,120,0.48862198478796903,matched41,IB_R,0.0364638376026452,0.0364638376026452
