,IL1L,IL1R,IL1VR,FLPL,URYDL,IL1VL,URYVR,URYDR,IL1DR,OLQDR,OLQVL,OLLR,FLPR,URYVL,IL1DL,OLLL,ADER,OLQDL,ADEL,ADLL,AQR,ASHL,ADLR,ASHR,IL2DL,ASGL,ASKL,ASGR,ASKR,IL2DR,CEPDL,OLQVR,BAGR,IL2VR,CEPVL,ASIR,IL2VL,AWAR,CEPVR,IL2L,AWAL,CEPDR,BAGL,URXR,ASIL,AWCR,ASER,IL2R,AWCL,URXL,ASEL,AWBR,AWBL,AVDR,AVDL,AVBR,SAAVR,SAAVL,RICL,AVER,AVBL,RICR,SAADR,RIAR,RIAL,SAADL,AVEL,AVJR,RMGL,ADAR,ALA,ADAL,RIMR,AVJL,RIML,AIBL,AVAL,AUAL,RIS,AIBR,AVAR,AVKR,RIBR,AVL,AVHL,AINL,RIBL,AIML,AINR,AIMR,RID,AVKL,URBL,AIZR,AIZL,URBR,AUAR,AIYL,RIR,RIH,AIYR,RMDDR,RMDVR,RMDVL,RMED,RMDDL,RMEV,URAVL,URADR,RIVL,URADL,URAVR,RIVR,SMDDR,RMER,SMBVR,SMDVR,RMEL,SMDVL,SMDDL,RMDR,RMDL
RID,14,10,9,13,11,9,9,9,12,13,14,13,7,13,12,13,7,14,13,8,4,5,4,0,13,12,3,10,3,13,14,11,0,11,12,4,9,7,10,11,10,14,6,11,3,9,6,8,13,13,11,8,14,10,12,1,2,9,13,12,3,8,2,7,9,1,11,11,4,1,2,10,4,13,5,13,13,13,2,13,12,1,2,3,5,11,8,2,9,3,0,1,11,13,12,7,5,2,4,12,3,10,11,12,3,14,3,4,4,14,7,1,12,3,13,2,10,12,13,5,5,11
AVKL,1,1,2,1,2,2,1,2,2,2,2,2,0,2,2,2,0,2,2,2,0,2,0,0,2,2,0,2,0,1,2,1,0,2,1,0,2,1,0,2,1,2,1,2,1,2,0,1,2,2,1,0,2,0,2,0,1,1,2,2,0,0,0,1,2,0,1,0,1,0,0,1,1,2,1,2,2,2,0,2,2,1,0,2,0,1,2,1,1,1,1,0,1,2,1,0,0,0,1,1,0,0,1,1,0,2,1,2,0,2,0,0,1,0,2,0,1,1,1,0,1,2
URBL,12,11,10,14,10,9,11,10,13,13,13,14,8,14,12,13,6,14,12,7,3,6,5,0,14,12,2,11,2,14,15,10,0,10,12,5,9,9,10,13,8,14,5,11,5,9,6,10,14,12,14,9,15,11,14,2,4,10,13,11,3,8,4,6,10,3,9,12,6,0,1,11,6,14,6,13,13,14,3,13,11,2,3,4,5,11,7,2,9,3,11,1,0,13,13,9,7,3,2,11,3,10,12,11,2,13,6,6,4,15,7,2,14,4,15,2,10,12,14,6,4,11
AIZR,14,12,11,15,13,10,11,11,14,14,15,15,9,16,13,14,8,15,14,9,4,6,5,0,14,15,2,12,2,14,16,12,0,14,13,6,11,8,9,13,11,15,7,12,5,10,7,10,15,13,13,9,16,11,14,1,4,9,15,12,4,10,4,7,11,3,11,13,5,1,2,11,6,15,7,15,14,15,3,16,13,2,2,4,6,11,10,3,11,4,13,2,13,0,14,9,7,3,4,12,4,11,12,13,2,15,6,6,3,16,7,2,15,4,15,1,11,13,14,6,4,13
AIZL,13,12,11,15,11,10,11,10,13,13,14,14,8,14,12,13,7,14,13,7,3,6,4,0,13,13,3,10,3,14,15,10,0,12,12,5,10,8,9,13,10,14,6,11,4,8,6,10,14,12,13,8,15,10,13,1,3,8,14,11,4,9,4,8,9,3,11,12,6,1,2,11,5,15,6,14,13,14,3,14,12,2,1,2,5,11,8,3,9,4,12,1,13,14,0,8,6,3,3,11,4,11,11,12,3,14,5,6,3,15,8,2,14,4,14,1,11,12,14,6,4,13
URBR,8,7,7,9,6,5,7,5,7,8,8,9,7,9,7,8,4,8,7,4,1,3,3,0,8,8,1,7,1,8,9,7,0,8,8,5,6,4,5,7,6,8,3,6,4,5,5,5,8,6,9,6,9,8,8,0,2,7,9,5,2,7,2,2,7,2,5,8,2,0,1,6,3,8,4,8,7,9,2,9,6,0,1,1,4,6,3,1,7,1,7,0,9,9,8,0,5,2,1,6,2,6,8,8,1,8,4,4,3,9,6,2,9,3,9,1,5,8,8,4,1,6
AUAR,6,7,5,7,5,4,7,4,6,5,6,7,5,7,5,6,4,6,6,2,2,2,4,0,6,7,0,6,0,6,7,5,0,6,7,4,5,5,5,5,4,6,3,6,2,4,3,3,7,5,7,4,7,6,7,1,3,4,6,5,1,5,3,1,4,2,4,7,2,0,0,5,3,6,4,7,5,7,1,7,5,1,2,2,2,5,5,0,6,1,5,0,7,7,6,5,0,2,2,6,2,6,6,6,1,6,4,2,1,7,2,1,7,2,7,1,5,7,6,3,1,5
AIYL,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,3,2,3,2,2,0,3,1,0,3,3,1,2,1,3,3,3,0,2,2,1,3,0,2,3,1,3,3,3,2,2,0,2,2,2,3,1,3,3,3,0,0,1,2,2,1,2,1,1,2,1,2,3,0,0,0,2,3,3,2,3,2,3,1,3,1,1,0,0,2,2,2,1,2,2,2,0,3,3,3,2,2,0,0,3,3,3,3,3,0,2,2,2,1,3,1,2,3,0,3,0,2,3,3,2,1,3
RIR,4,3,3,3,4,3,2,2,4,4,4,4,1,4,4,4,2,4,4,1,1,1,1,0,3,4,1,3,1,3,4,4,0,5,4,1,3,2,2,3,4,4,2,4,0,2,1,1,4,4,2,2,4,3,4,1,1,2,4,4,0,3,1,1,2,0,3,3,1,0,1,2,1,4,2,4,4,4,0,4,3,0,1,2,1,2,4,0,3,0,4,1,2,4,3,1,2,0,0,4,0,2,2,4,1,4,0,1,0,4,0,0,3,1,3,0,2,4,3,0,1,3
RIH,13,10,9,12,11,10,9,9,12,13,13,13,7,13,13,13,6,14,12,7,4,6,3,0,13,12,3,9,3,13,14,10,0,11,12,5,9,8,10,11,8,14,7,12,3,8,4,7,13,12,10,7,14,10,13,2,2,8,12,12,3,8,3,5,8,2,10,11,4,1,1,9,6,13,6,13,12,12,3,12,10,1,3,4,5,10,9,2,8,3,12,1,11,12,11,6,6,3,4,0,4,11,11,11,3,12,3,4,3,14,5,2,12,2,13,2,9,13,13,4,5,11
