side_key,big_group,n_rois,weighted_mean_PostDCA_positive,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z
AL_R,olfactory system,23,0.0669363001194896,0.5453464285983227,0.6234741088401652,-0.10610458017952942,0.037328533346742555,0.02771242898337519
AME_L,optic/lateral protocerebrum,1,0.003772548406603,-0.862762001375159,-0.8556880008356378,0.6732867449363908,-0.7258514148140203,0.150735450473124
AOTU_L,optic/lateral protocerebrum,4,0.0275586782600697,0.31591730106108273,0.15864983020987794,-0.04471327554076212,0.25035364583375214,0.047326203724652835
AOTU_R,optic/lateral protocerebrum,3,0.0151695582829394,0.1934988086043086,0.2534507081814528,-0.13827983425098042,0.4262881290156358,-0.00280450184758572
ATL_L,inferior/ventrolateral protocerebrum,1,0.0081194081525082,0.5110829959121077,0.4080466729581337,-0.40644279046410225,1.1935819504007994,0.29041249218073006
ATL_R,inferior/ventrolateral protocerebrum,1,0.0076843012696145,0.6779206015164492,0.5008777462298821,-0.5457398149078624,0.9714366279838191,0.06767714535415507
AVLP_L,optic/lateral protocerebrum,34,0.017506590080857,-0.27482411485036407,0.04123126254901125,0.0772777293399856,-0.05623199813568949,0.006490937592532601
AVLP_R,optic/lateral protocerebrum,28,0.0220640996038256,-0.5623970710773737,-0.2632854469316284,0.22781107962047695,-0.34651804431647965,-0.1414729129097248
CRE_L,inferior/ventrolateral protocerebrum,10,0.0207756652701866,0.5165927821154094,0.2310117637038073,-0.20682492758291593,0.12078109452234323,0.16834342449917383
CRE_R,inferior/ventrolateral protocerebrum,8,0.011210897585465,0.8097302150284016,0.5785973501487949,-0.4030742655795926,0.27769085958960443,-0.006919309655434377
EPA_L,inferior/ventrolateral protocerebrum,1,0.0641271040364944,0.26853691670385516,-0.34934722455752176,-0.4601982073907525,-0.17684853505754336,-0.019206188341224804
EPA_R,inferior/ventrolateral protocerebrum,1,0.0143470987549166,0.15196563190011067,-0.2107844072948724,-0.42251913736549157,-0.27507359578293655,-0.08456664843452685
IB_L,inferior/ventrolateral protocerebrum,3,0.0356146528386148,0.5905600892038754,0.002308564776047517,-0.6135144907862788,0.2869064870626496,0.1247600768323842
IB_R,inferior/ventrolateral protocerebrum,4,0.0364638376026452,0.3930046288293175,-0.008063030645475727,-0.46656888217400083,0.07041703103727032,0.02007265129329823
ICL_L,optic/lateral protocerebrum,8,0.0141316259929802,0.15660229218385002,-0.09123578948995234,-0.20851940096755936,0.005510743744666181,0.19807351821248226
ICL_R,optic/lateral protocerebrum,8,0.0142208345232401,0.15895732046117633,-0.06734524330539476,-0.31675527761676725,-0.03472029376652663,0.06967660346056541
LAL_L,inferior/ventrolateral protocerebrum,5,0.0372312491272941,1.1220420981975052,0.7663546336620205,-0.9988045535095995,0.6512027375263753,0.0025794828348806808
LAL_R,inferior/ventrolateral protocerebrum,9,0.023416134530816,0.5863365911670715,0.4300450420442559,-0.5613010936982943,0.12923590565337972,0.0080806154227639
LH_L,olfactory system,11,0.0154207396394683,0.16346320323065797,0.22689805720559003,-0.1753532442296424,0.3599824399936495,0.09562855419826523
LH_R,olfactory system,14,0.015880788129262,-0.1841859454844562,0.0714489002515315,0.18295584004327706,-0.1915685089574493,-0.17491582349687582
LO_R,optic/lateral protocerebrum,40,0.0119475088678664,-1.3231770596094528,-1.1311682755131152,1.0335616158970986,-0.4974378668214449,-0.2107620052359594
MB_L,mushroom body,16,0.1238445491944881,1.129367062932685,0.8534629069129333,-0.4850242682801449,0.6620931376822268,-0.016954869759281312
MB_R,mushroom body,16,0.0541119400368117,1.0705722586262616,0.8993037710872573,-0.4063308334285551,0.61411261116919,-0.042702073998771704
ME_L,optic/lateral protocerebrum,131,0.0137407167826744,-1.4410800986177785,-1.3237417412764976,1.453288965234149,-0.37178650144614434,-0.3683770251462796
ME_R,optic/lateral protocerebrum,129,0.0062167920089693,-1.1502518130781347,-0.8930920541409649,0.9354312321006062,-0.1966836972452368,-0.5247788476164196
NO,central complex,1,0.0034522715914941,0.2730326296129158,0.11826581329292304,-0.35727612701304223,0.35951982018688255,0.029746527069930383
PB,central complex,1,0.0033217601035986,0.47177580763940546,1.2803517295158486,-0.16543985879985348,1.3888064921274448,0.1874851278276845
PLP_L,optic/lateral protocerebrum,13,0.0247627492367811,0.22659673355803014,-0.009242855587928069,-0.38526954564714827,0.18160530532679925,-0.024265158577339317
PLP_R,optic/lateral protocerebrum,15,0.0182239601527843,-0.191230463219404,-0.23884670135145614,-0.1062847526239687,-0.12675983610270344,-0.12347471106245099
PVLP_L,optic/lateral protocerebrum,11,0.0210877228173999,0.03908797468554665,-0.1483969242165604,-0.24391566535634238,0.054501268136332784,-0.00796402580445772
PVLP_R,optic/lateral protocerebrum,17,0.0190223107650327,-0.4530358916783239,-0.5321649461611846,0.14809805773713003,-0.5624990623551673,-0.3022293395263304
SIP_L,superior protocerebrum,7,0.026564468898378,0.17035503762117093,0.14793640908310174,-0.23991823924149053,0.2906379650928395,0.320989811630171
SIP_R,superior protocerebrum,6,0.0113351905713117,0.49356725678750696,0.2779957815277268,-0.22613932048696037,0.29973156001462314,0.07308070255975714
SLP_R,superior protocerebrum,22,0.0215671447223606,-0.06220536384445455,-0.05062020664526776,0.10295962562710978,-0.015163563691405308,0.08340864787756878
SMP_L,superior protocerebrum,22,0.0283202025188532,0.04894598286803841,-0.013711661391378723,0.007476225623433134,0.13336197399484073,0.22339627313407015
SMP_R,superior protocerebrum,21,0.0249790898738309,0.12164168794713984,-0.0033507311943636346,-0.09705228498259032,0.12800618439841488,0.15096532205578908
