comparison,x,y,n,spearman_rho,spearman_p,pearson_r,pearson_p
FCS_vs_FCV,FCS_z,FCV_z,41,0.6315331010452963,9.524701748858747e-06,0.7781253081437022,2.1344323644424953e-09
PostDCA_vs_FCS,weighted_mean_PostDCA_positive,FCS_z,41,0.5628919860627178,0.0001275803713967555,0.38416050233710747,0.013148118341720723
PostDCA_vs_FCV,weighted_mean_PostDCA_positive,FCV_z,41,0.44738675958188157,0.0033592615526576663,0.28969062061691875,0.06618382729306861
PostDCA_vs_FCV_residual,weighted_mean_PostDCA_positive,FCV_residual_from_FCS,41,0.028222996515679447,0.8609527875089777,-0.014701887092574556,0.9273085695504163
PostDCA_vs_stability_residual,weighted_mean_PostDCA_positive,FC_stability_residual,41,-0.028222996515679447,0.8609527875089777,0.014701887092574556,0.9273085695504163
PostDCA_vs_FCS_minus_FCV,weighted_mean_PostDCA_positive,FCS_minus_FCV,41,0.3541811846689896,0.02309033291858169,0.21660913957131095,0.17373624856032419
CONFIG,window,step,41,30.0,8.0,39.0,41.0
