fcv_metric,subset,n,spearman_rho,spearman_p,pearson_r,pearson_p
mean_FCV_all_other_z,all,464,0.2677635957852654,4.640390456186586e-09,0.3297558116941879,3.125902707158949e-13
mean_FCV_all_other_z,R,272,0.231384675995958,0.00011768084919994945,0.2931710595924911,8.592948087544787e-07
mean_FCV_all_other_z,L,190,0.34212672142180045,1.355969557899578e-06,0.43481902684310675,3.641027274239264e-10
mean_FCV_all_other_z,midline,2,,,,
mean_FCV_excl_same_side_key_z,all,464,0.2649027361518511,6.847326331195886e-09,0.3222146750760024,1.1390643335664634e-12
mean_FCV_excl_same_side_key_z,R,272,0.2259037429226168,0.00017180752574359222,0.284164458527126,1.9022676762857373e-06
mean_FCV_excl_same_side_key_z,L,190,0.3441929292536661,1.1593496806566514e-06,0.4297956169998435,6.082471853714579e-10
mean_FCV_excl_same_side_key_z,midline,2,,,,
