roi,atlas_region,ito_neuropil_block,ito_block_order,base_region,side,side_order,label,plot_order
933,IPS_R,IPS,881,IPS,R,0,IPS_R_933,85
934,IPS_R,IPS,880,IPS,R,0,IPS_R_934,86
935,IPS_R,IPS,874,IPS,R,0,IPS_R_935,87
936,IPS_R,IPS,873,IPS,R,0,IPS_R_936,88
937,IPS_R,IPS,872,IPS,R,0,IPS_R_937,89
938,IPS_R,IPS,878,IPS,R,0,IPS_R_938,90
916,IVLP_R,IVLP,990,IVLP,R,0,IVLP_R_916,91
917,IVLP_R,IVLP,993,IVLP,R,0,IVLP_R_917,92
918,IVLP_R,IVLP,992,IVLP,R,0,IVLP_R_918,93
919,IVLP_R,IVLP,994,IVLP,R,0,IVLP_R_919,94
920,IVLP_R,IVLP,991,IVLP,R,0,IVLP_R_920,95
974,LAL_R,LAL,150,LAL,R,0,LAL_R_974,96
975,LAL_R,LAL,149,LAL,R,0,LAL_R_975,97
976,LAL_R,LAL,143,LAL,R,0,LAL_R_976,98
977,LAL_R,LAL,151,LAL,R,0,LAL_R_977,99
978,LAL_R,LAL,152,LAL,R,0,LAL_R_978,100
979,LAL_R,LAL,153,LAL,R,0,LAL_R_979,101
980,LAL_R,LAL,147,LAL,R,0,LAL_R_980,102
981,LAL_R,LAL,154,LAL,R,0,LAL_R_981,103
982,LAL_R,LAL,146,LAL,R,0,LAL_R_982,104
894,LB_R,LB,998,LB,R,0,LB_R_894,105
824,LH_R,LH,102,LH,R,0,LH_R_824,106
825,LH_R,LH,103,LH,R,0,LH_R_825,107
826,LH_R,LH,95,LH,R,0,LH_R_826,108
827,LH_R,LH,98,LH,R,0,LH_R_827,109
828,LH_R,LH,96,LH,R,0,LH_R_828,110
829,LH_R,LH,90,LH,R,0,LH_R_829,111
830,LH_R,LH,94,LH,R,0,LH_R_830,112
831,LH_R,LH,101,LH,R,0,LH_R_831,113
832,LH_R,LH,91,LH,R,0,LH_R_832,114
833,LH_R,LH,93,LH,R,0,LH_R_833,115
834,LH_R,LH,99,LH,R,0,LH_R_834,116
835,LH_R,LH,92,LH,R,0,LH_R_835,117
836,LH_R,LH,100,LH,R,0,LH_R_836,118
837,LH_R,LH,97,LH,R,0,LH_R_837,119
633,LO_R,LO,36,LO,R,0,LO_R_633,120
634,LO_R,LO,39,LO,R,0,LO_R_634,121
635,LO_R,LO,30,LO,R,0,LO_R_635,122
636,LO_R,LO,38,LO,R,0,LO_R_636,123
637,LO_R,LO,53,LO,R,0,LO_R_637,124
638,LO_R,LO,37,LO,R,0,LO_R_638,125
639,LO_R,LO,35,LO,R,0,LO_R_639,126
640,LO_R,LO,54,LO,R,0,LO_R_640,127
641,LO_R,LO,55,LO,R,0,LO_R_641,128
642,LO_R,LO,51,LO,R,0,LO_R_642,129
643,LO_R,LO,49,LO,R,0,LO_R_643,130
644,LO_R,LO,41,LO,R,0,LO_R_644,131
645,LO_R,LO,42,LO,R,0,LO_R_645,132
646,LO_R,LO,52,LO,R,0,LO_R_646,133
647,LO_R,LO,24,LO,R,0,LO_R_647,134
648,LO_R,LO,23,LO,R,0,LO_R_648,135
649,LO_R,LO,58,LO,R,0,LO_R_649,136
650,LO_R,LO,40,LO,R,0,LO_R_650,137
651,LO_R,LO,61,LO,R,0,LO_R_651,138
652,LO_R,LO,45,LO,R,0,LO_R_652,139
653,LO_R,LO,62,LO,R,0,LO_R_653,140
654,LO_R,LO,33,LO,R,0,LO_R_654,141
655,LO_R,LO,43,LO,R,0,LO_R_655,142
656,LO_R,LO,60,LO,R,0,LO_R_656,143
657,LO_R,LO,27,LO,R,0,LO_R_657,144
658,LO_R,LO,44,LO,R,0,LO_R_658,145
659,LO_R,LO,34,LO,R,0,LO_R_659,146
660,LO_R,LO,56,LO,R,0,LO_R_660,147
661,LO_R,LO,48,LO,R,0,LO_R_661,148
662,LO_R,LO,47,LO,R,0,LO_R_662,149
663,LO_R,LO,50,LO,R,0,LO_R_663,150
664,LO_R,LO,28,LO,R,0,LO_R_664,151
665,LO_R,LO,29,LO,R,0,LO_R_665,152
666,LO_R,LO,25,LO,R,0,LO_R_666,153
667,LO_R,LO,31,LO,R,0,LO_R_667,154
668,LO_R,LO,57,LO,R,0,LO_R_668,155
669,LO_R,LO,59,LO,R,0,LO_R_669,156
670,LO_R,LO,26,LO,R,0,LO_R_670,157
671,LO_R,LO,46,LO,R,0,LO_R_671,158
672,LO_R,LO,32,LO,R,0,LO_R_672,159
587,LOP_R,LOP,273,LOP,R,0,LOP_R_587,160
588,LOP_R,LOP,260,LOP,R,0,LOP_R_588,161
589,LOP_R,LOP,274,LOP,R,0,LOP_R_589,162
590,LOP_R,LOP,263,LOP,R,0,LOP_R_590,163
591,LOP_R,LOP,275,LOP,R,0,LOP_R_591,164
592,LOP_R,LOP,265,LOP,R,0,LOP_R_592,165
593,LOP_R,LOP,272,LOP,R,0,LOP_R_593,166
594,LOP_R,LOP,258,LOP,R,0,LOP_R_594,167
595,LOP_R,LOP,261,LOP,R,0,LOP_R_595,168
596,LOP_R,LOP,256,LOP,R,0,LOP_R_596,169
597,LOP_R,LOP,276,LOP,R,0,LOP_R_597,170
598,LOP_R,LOP,266,LOP,R,0,LOP_R_598,171
599,LOP_R,LOP,271,LOP,R,0,LOP_R_599,172
600,LOP_R,LOP,255,LOP,R,0,LOP_R_600,173
601,LOP_R,LOP,277,LOP,R,0,LOP_R_601,174
602,LOP_R,LOP,259,LOP,R,0,LOP_R_602,175
603,LOP_R,LOP,267,LOP,R,0,LOP_R_603,176
604,LOP_R,LOP,270,LOP,R,0,LOP_R_604,177
605,LOP_R,LOP,262,LOP,R,0,LOP_R_605,178
606,LOP_R,LOP,278,LOP,R,0,LOP_R_606,179
607,LOP_R,LOP,257,LOP,R,0,LOP_R_607,180
608,LOP_R,LOP,268,LOP,R,0,LOP_R_608,181
609,LOP_R,LOP,269,LOP,R,0,LOP_R_609,182
610,LOP_R,LOP,264,LOP,R,0,LOP_R_610,183
712,MB_R,MB,127,MB,R,0,MB_R_712,184
713,MB_R,MB,134,MB,R,0,MB_R_713,185
714,MB_R,MB,137,MB,R,0,MB_R_714,186
715,MB_R,MB,135,MB,R,0,MB_R_715,187
716,MB_R,MB,128,MB,R,0,MB_R_716,188
717,MB_R,MB,133,MB,R,0,MB_R_717,189
718,MB_R,MB,131,MB,R,0,MB_R_718,190
719,MB_R,MB,132,MB,R,0,MB_R_719,191
720,MB_R,MB,123,MB,R,0,MB_R_720,192
721,MB_R,MB,129,MB,R,0,MB_R_721,193
722,MB_R,MB,125,MB,R,0,MB_R_722,194
723,MB_R,MB,126,MB,R,0,MB_R_723,195
724,MB_R,MB,122,MB,R,0,MB_R_724,196
725,MB_R,MB,124,MB,R,0,MB_R_725,197
726,MB_R,MB,130,MB,R,0,MB_R_726,198
727,MB_R,MB,136,MB,R,0,MB_R_727,199
327,ME_R,ME,454,ME,R,0,ME_R_327,200
328,ME_R,ME,508,ME,R,0,ME_R_328,201
329,ME_R,ME,511,ME,R,0,ME_R_329,202
330,ME_R,ME,512,ME,R,0,ME_R_330,203
331,ME_R,ME,507,ME,R,0,ME_R_331,204
332,ME_R,ME,509,ME,R,0,ME_R_332,205
333,ME_R,ME,506,ME,R,0,ME_R_333,206
334,ME_R,ME,510,ME,R,0,ME_R_334,207
335,ME_R,ME,453,ME,R,0,ME_R_335,208
336,ME_R,ME,452,ME,R,0,ME_R_336,209
337,ME_R,ME,455,ME,R,0,ME_R_337,210
338,ME_R,ME,451,ME,R,0,ME_R_338,211
339,ME_R,ME,456,ME,R,0,ME_R_339,212
340,ME_R,ME,450,ME,R,0,ME_R_340,213
341,ME_R,ME,519,ME,R,0,ME_R_341,214
342,ME_R,ME,522,ME,R,0,ME_R_342,215
343,ME_R,ME,457,ME,R,0,ME_R_343,216
344,ME_R,ME,518,ME,R,0,ME_R_344,217
345,ME_R,ME,449,ME,R,0,ME_R_345,218
346,ME_R,ME,529,ME,R,0,ME_R_346,219
347,ME_R,ME,458,ME,R,0,ME_R_347,220
348,ME_R,ME,521,ME,R,0,ME_R_348,221
349,ME_R,ME,448,ME,R,0,ME_R_349,222
350,ME_R,ME,517,ME,R,0,ME_R_350,223
351,ME_R,ME,459,ME,R,0,ME_R_351,224
352,ME_R,ME,447,ME,R,0,ME_R_352,225
353,ME_R,ME,460,ME,R,0,ME_R_353,226
354,ME_R,ME,446,ME,R,0,ME_R_354,227
355,ME_R,ME,461,ME,R,0,ME_R_355,228
356,ME_R,ME,445,ME,R,0,ME_R_356,229
357,ME_R,ME,462,ME,R,0,ME_R_357,230
358,ME_R,ME,444,ME,R,0,ME_R_358,231
359,ME_R,ME,463,ME,R,0,ME_R_359,232
360,ME_R,ME,443,ME,R,0,ME_R_360,233
361,ME_R,ME,464,ME,R,0,ME_R_361,234
362,ME_R,ME,442,ME,R,0,ME_R_362,235
363,ME_R,ME,465,ME,R,0,ME_R_363,236
364,ME_R,ME,441,ME,R,0,ME_R_364,237
365,ME_R,ME,466,ME,R,0,ME_R_365,238
366,ME_R,ME,440,ME,R,0,ME_R_366,239
367,ME_R,ME,467,ME,R,0,ME_R_367,240
368,ME_R,ME,526,ME,R,0,ME_R_368,241
369,ME_R,ME,514,ME,R,0,ME_R_369,242
370,ME_R,ME,520,ME,R,0,ME_R_370,243
371,ME_R,ME,524,ME,R,0,ME_R_371,244
372,ME_R,ME,525,ME,R,0,ME_R_372,245
373,ME_R,ME,439,ME,R,0,ME_R_373,246
374,ME_R,ME,501,ME,R,0,ME_R_374,247
375,ME_R,ME,504,ME,R,0,ME_R_375,248
376,ME_R,ME,468,ME,R,0,ME_R_376,249
377,ME_R,ME,500,ME,R,0,ME_R_377,250
378,ME_R,ME,505,ME,R,0,ME_R_378,251
379,ME_R,ME,503,ME,R,0,ME_R_379,252
380,ME_R,ME,502,ME,R,0,ME_R_380,253
381,ME_R,ME,527,ME,R,0,ME_R_381,254
382,ME_R,ME,438,ME,R,0,ME_R_382,255
383,ME_R,ME,469,ME,R,0,ME_R_383,256
384,ME_R,ME,437,ME,R,0,ME_R_384,257
385,ME_R,ME,515,ME,R,0,ME_R_385,258
386,ME_R,ME,470,ME,R,0,ME_R_386,259
387,ME_R,ME,436,ME,R,0,ME_R_387,260
388,ME_R,ME,523,ME,R,0,ME_R_388,261
389,ME_R,ME,471,ME,R,0,ME_R_389,262
390,ME_R,ME,435,ME,R,0,ME_R_390,263
391,ME_R,ME,472,ME,R,0,ME_R_391,264
392,ME_R,ME,434,ME,R,0,ME_R_392,265
393,ME_R,ME,473,ME,R,0,ME_R_393,266
394,ME_R,ME,433,ME,R,0,ME_R_394,267
395,ME_R,ME,513,ME,R,0,ME_R_395,268
396,ME_R,ME,474,ME,R,0,ME_R_396,269
397,ME_R,ME,432,ME,R,0,ME_R_397,270
398,ME_R,ME,475,ME,R,0,ME_R_398,271
399,ME_R,ME,431,ME,R,0,ME_R_399,272
400,ME_R,ME,476,ME,R,0,ME_R_400,273
401,ME_R,ME,430,ME,R,0,ME_R_401,274
402,ME_R,ME,477,ME,R,0,ME_R_402,275
403,ME_R,ME,429,ME,R,0,ME_R_403,276
404,ME_R,ME,478,ME,R,0,ME_R_404,277
405,ME_R,ME,428,ME,R,0,ME_R_405,278
406,ME_R,ME,479,ME,R,0,ME_R_406,279
407,ME_R,ME,427,ME,R,0,ME_R_407,280
408,ME_R,ME,480,ME,R,0,ME_R_408,281
409,ME_R,ME,426,ME,R,0,ME_R_409,282
410,ME_R,ME,481,ME,R,0,ME_R_410,283
411,ME_R,ME,528,ME,R,0,ME_R_411,284
412,ME_R,ME,425,ME,R,0,ME_R_412,285
413,ME_R,ME,482,ME,R,0,ME_R_413,286
414,ME_R,ME,424,ME,R,0,ME_R_414,287
415,ME_R,ME,483,ME,R,0,ME_R_415,288
416,ME_R,ME,423,ME,R,0,ME_R_416,289
417,ME_R,ME,484,ME,R,0,ME_R_417,290
418,ME_R,ME,422,ME,R,0,ME_R_418,291
419,ME_R,ME,485,ME,R,0,ME_R_419,292
420,ME_R,ME,421,ME,R,0,ME_R_420,293
421,ME_R,ME,486,ME,R,0,ME_R_421,294
422,ME_R,ME,420,ME,R,0,ME_R_422,295
423,ME_R,ME,487,ME,R,0,ME_R_423,296
424,ME_R,ME,419,ME,R,0,ME_R_424,297
425,ME_R,ME,488,ME,R,0,ME_R_425,298
426,ME_R,ME,418,ME,R,0,ME_R_426,299
427,ME_R,ME,489,ME,R,0,ME_R_427,300
428,ME_R,ME,417,ME,R,0,ME_R_428,301
429,ME_R,ME,490,ME,R,0,ME_R_429,302
430,ME_R,ME,416,ME,R,0,ME_R_430,303
431,ME_R,ME,491,ME,R,0,ME_R_431,304
432,ME_R,ME,415,ME,R,0,ME_R_432,305
433,ME_R,ME,492,ME,R,0,ME_R_433,306
434,ME_R,ME,414,ME,R,0,ME_R_434,307
435,ME_R,ME,493,ME,R,0,ME_R_435,308
436,ME_R,ME,413,ME,R,0,ME_R_436,309
437,ME_R,ME,494,ME,R,0,ME_R_437,310
438,ME_R,ME,412,ME,R,0,ME_R_438,311
439,ME_R,ME,495,ME,R,0,ME_R_439,312
440,ME_R,ME,411,ME,R,0,ME_R_440,313
441,ME_R,ME,496,ME,R,0,ME_R_441,314
442,ME_R,ME,410,ME,R,0,ME_R_442,315
443,ME_R,ME,497,ME,R,0,ME_R_443,316
444,ME_R,ME,409,ME,R,0,ME_R_444,317
445,ME_R,ME,498,ME,R,0,ME_R_445,318
446,ME_R,ME,408,ME,R,0,ME_R_446,319
447,ME_R,ME,499,ME,R,0,ME_R_447,320
448,ME_R,ME,407,ME,R,0,ME_R_448,321
449,ME_R,ME,516,ME,R,0,ME_R_449,322
450,ME_R,ME,406,ME,R,0,ME_R_450,323
451,ME_R,ME,530,ME,R,0,ME_R_451,324
452,ME_R,ME,405,ME,R,0,ME_R_452,325
453,ME_R,ME,531,ME,R,0,ME_R_453,326
454,ME_R,ME,404,ME,R,0,ME_R_454,327
455,ME_R,ME,532,ME,R,0,ME_R_455,328
772,OTU_R,AOTU,836,OTU,R,0,OTU_R_772,329
773,OTU_R,AOTU,834,OTU,R,0,OTU_R_773,330
774,OTU_R,AOTU,835,OTU,R,0,OTU_R_774,331
160,PLP_R,PLP,812,PLP,R,0,PLP_R_160,332
161,PLP_R,PLP,823,PLP,R,0,PLP_R_161,333
162,PLP_R,PLP,814,PLP,R,0,PLP_R_162,334
163,PLP_R,PLP,825,PLP,R,0,PLP_R_163,335
164,PLP_R,PLP,819,PLP,R,0,PLP_R_164,336
165,PLP_R,PLP,815,PLP,R,0,PLP_R_165,337
166,PLP_R,PLP,821,PLP,R,0,PLP_R_166,338
167,PLP_R,PLP,811,PLP,R,0,PLP_R_167,339
168,PLP_R,PLP,818,PLP,R,0,PLP_R_168,340
169,PLP_R,PLP,817,PLP,R,0,PLP_R_169,341
170,PLP_R,PLP,822,PLP,R,0,PLP_R_170,342
171,PLP_R,PLP,820,PLP,R,0,PLP_R_171,343
172,PLP_R,PLP,816,PLP,R,0,PLP_R_172,344
173,PLP_R,PLP,824,PLP,R,0,PLP_R_173,345
174,PLP_R,PLP,813,PLP,R,0,PLP_R_174,346
744,PVLP_R,PVLP,794,PVLP,R,0,PVLP_R_744,347
745,PVLP_R,PVLP,785,PVLP,R,0,PVLP_R_745,348
746,PVLP_R,PVLP,789,PVLP,R,0,PVLP_R_746,349
747,PVLP_R,PVLP,781,PVLP,R,0,PVLP_R_747,350
748,PVLP_R,PVLP,783,PVLP,R,0,PVLP_R_748,351
749,PVLP_R,PVLP,792,PVLP,R,0,PVLP_R_749,352
750,PVLP_R,PVLP,784,PVLP,R,0,PVLP_R_750,353
751,PVLP_R,PVLP,793,PVLP,R,0,PVLP_R_751,354
752,PVLP_R,PVLP,782,PVLP,R,0,PVLP_R_752,355
753,PVLP_R,PVLP,795,PVLP,R,0,PVLP_R_753,356
