recording_id,side_key,side,big_group,n_mapped_rois,weighted_mean_PostDCA_positive,n_present_rois,n_valid_sidekeys,n_time,n_windows,FCS,FCV,FCS_z,FCV_z
2017-10-26_1,ATL_L,L,inferior/ventrolateral protocerebrum,1,0.0081194081525082,1,41,2000,247,0.08605554732926508,0.2148945627803418,-1.5108141624982954,-0.9405163606011636
2017-10-26_1,CRE_L,L,inferior/ventrolateral protocerebrum,10,0.0207756652701866,10,41,2000,247,0.22922883228230542,0.25218272827730337,0.9016123802613256,0.5429039572289412
2017-10-26_1,EPA_L,L,inferior/ventrolateral protocerebrum,1,0.0641271040364944,1,41,2000,247,0.13550730424303545,0.21668277623920593,-0.6775670172364875,-0.8693765728925823
2017-10-26_1,IB_L,L,inferior/ventrolateral protocerebrum,3,0.0356146528386148,3,41,2000,247,0.18056117523840426,0.2296222814927784,0.08157708062328221,-0.3546093608294709
2017-10-26_1,LAL_L,L,inferior/ventrolateral protocerebrum,5,0.0372312491272941,5,41,2000,247,0.17363297548778195,0.24499211178459496,-0.035160989453295474,0.2568425095592487
2017-10-26_1,VES_L,L,inferior/ventrolateral protocerebrum,6,0.0256192691445413,6,41,2000,247,0.181851037737747,0.26580539828940697,0.10331087356478867,1.084849242273764
2017-10-26_1,MB_L,L,mushroom body,16,0.1238445491944881,16,41,2000,247,0.2512779085406165,0.2669701625094756,1.2731326455561192,1.1311865958684886
2017-10-26_1,LH_L,L,olfactory system,11,0.0154207396394683,11,41,2000,247,0.16827702162716593,0.25241988512920205,-0.12540719187425606,0.5523386743283328
2017-10-26_1,AME_L,L,optic/lateral protocerebrum,1,0.003772548406603,1,41,2000,247,0.03901894042887309,0.18238063901035206,-2.3033667605969836,-2.234004910921832
2017-10-26_1,AOTU_L,L,optic/lateral protocerebrum,4,0.0275586782600697,4,41,2000,247,0.1760773726577592,0.2484360643935673,0.006026363451499178,0.39385191202529035
2017-10-26_1,AVLP_L,L,optic/lateral protocerebrum,34,0.017506590080857,34,41,2000,247,0.18662180720516167,0.2652540311832443,0.18369689597360073,1.0629144230901406
2017-10-26_1,ICL_L,L,optic/lateral protocerebrum,8,0.0141316259929802,8,41,2000,247,0.19701194219173826,0.23348338544396102,0.3587675275700889,-0.20100459175320465
2017-10-26_1,ME_L,L,optic/lateral protocerebrum,131,0.0137407167826744,16,41,2000,247,0.030025857087895357,0.18663335211479024,-2.454897494561354,-2.064820910021064
2017-10-26_1,PLP_L,L,optic/lateral protocerebrum,13,0.0247627492367811,13,41,2000,247,0.16614305021717582,0.23881155370292778,-0.16136396462441566,0.010963815563931879
2017-10-26_1,PVLP_L,L,optic/lateral protocerebrum,11,0.0210877228173999,11,41,2000,247,0.1842017182388945,0.2317878675220006,0.1429191289482963,-0.2684567096345773
2017-10-26_1,SIP_L,L,superior protocerebrum,7,0.026564468898378,7,41,2000,247,0.1526724852282216,0.233657534209711,-0.388338909957131,-0.19407650038706864
2017-10-26_1,SMP_L,L,superior protocerebrum,22,0.0283202025188532,22,41,2000,247,0.1554700033386625,0.23739536348446597,-0.3412015760216001,-0.04537591893305476
2017-10-26_1,SPS_L,L,superior protocerebrum,15,0.0174081044878027,15,41,2000,247,0.1910185408488323,0.2285436559467351,0.25778052789497624,-0.39751989367565327
2017-10-26_1,ATL_R,R,inferior/ventrolateral protocerebrum,1,0.0076843012696145,1,41,2000,247,0.18190499291541468,0.2314252602962293,0.10422000198750746,-0.282882169265863
2017-10-26_1,CRE_R,R,inferior/ventrolateral protocerebrum,8,0.011210897585465,8,41,2000,247,0.24994046127313235,0.2801662662164309,1.2505970636654171,1.6561619625618653
2017-10-26_1,EPA_R,R,inferior/ventrolateral protocerebrum,1,0.0143470987549166,1,41,2000,247,0.15547770487955012,0.22311964824530883,-0.34107180738729437,-0.6133010435693994
2017-10-26_1,IB_R,R,inferior/ventrolateral protocerebrum,4,0.0364638376026452,4,41,2000,247,0.1796335277570493,0.22514620707094193,0.0659465011679123,-0.5326792565451216
2017-10-26_1,LAL_R,R,inferior/ventrolateral protocerebrum,9,0.023416134530816,9,41,2000,247,0.2420838942793116,0.2675794659413218,1.1182162863641285,1.1554262729477474
2017-10-26_1,VES_R,R,inferior/ventrolateral protocerebrum,6,0.0197899974539006,6,41,2000,247,0.21396114994208562,0.22786364131349018,0.6443565511724755,-0.4245726464708929
2017-10-26_1,MB_R,R,mushroom body,16,0.0541119400368117,16,41,2000,247,0.2480316549141745,0.2817544553764883,1.218434253914641,1.719344262822215
2017-10-26_1,AL_R,R,olfactory system,23,0.0669363001194896,23,41,2000,247,0.18560279299389137,0.2658555314744664,0.16652681475681497,1.086843670916834
2017-10-26_1,LH_R,R,olfactory system,14,0.015880788129262,14,41,2000,247,0.17245967347593497,0.25721524883412694,-0.05493077343905306,0.7431107291200947
2017-10-26_1,AOTU_R,R,optic/lateral protocerebrum,3,0.0151695582829394,3,41,2000,247,0.16193704131694864,0.2381872308696687,-0.23223394231137928,-0.013873372412431481
