roi,atlas_region,ito_neuropil_block,ito_block_order,base_region,side,side_order,label,plot_order,side_key,mean_FCV_all_other,mean_FCV_excl_same_side_key,n_available_targets,n_available_targets_excl_same_side_key,big_group,n_cells,n_postdca_cells,mean_DCA,median_DCA,mean_DCA_positive,median_DCA_positive,mean_PostDCA,median_PostDCA,weighted_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,weighted_PostDCA_positive,mean_mapping_confidence,mean_FCV_all_other_z,mean_FCV_excl_same_side_key_z,fcv_source,postdca_source
250,AL_R,AL,306,AL,R,0,AL_R_250,0,AL_R,0.23715231859570313,0.23663474263121298,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,-0.0072997752650655915,-0.1198650370959608,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
251,AL_R,AL,304,AL,R,0,AL_R_251,1,AL_R,0.23982956956272303,0.23928993987780944,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.6631845092679092,0.5508303908115991,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
252,AL_R,AL,319,AL,R,0,AL_R_252,2,AL_R,0.23882619036335584,0.23860760912786277,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.4119006390255056,0.378475544143773,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
253,AL_R,AL,318,AL,R,0,AL_R_253,3,AL_R,0.24128010066097463,0.24087512805600617,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,1.0264520241870023,0.9512445087655402,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
254,AL_R,AL,303,AL,R,0,AL_R_254,4,AL_R,0.23871492712175324,0.23833161788722013,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.3840361407548122,0.3087609255862119,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
255,AL_R,AL,308,AL,R,0,AL_R_255,5,AL_R,0.23194899708166813,0.23181798570478393,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,-1.3104070840341704,-1.336564418672646,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
256,AL_R,AL,307,AL,R,0,AL_R_256,6,AL_R,0.23853745063862472,0.2380524101586206,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.33958935773831017,0.23823383113091562,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
257,AL_R,AL,312,AL,R,0,AL_R_257,7,AL_R,0.24028286349724187,0.2396339945688814,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.776706350556965,0.6377376473432573,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
258,AL_R,AL,320,AL,R,0,AL_R_258,8,AL_R,0.23711093841800193,0.23705214910438918,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,-0.01766292731230009,-0.014429324740823226,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
259,AL_R,AL,316,AL,R,0,AL_R_259,9,AL_R,0.24274498794892935,0.24238325623984447,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,1.3933148686812014,1.3321934868105634,"Branson999 full FCV matrix, w20_step10_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
