side_key,big_group,n_rois,weighted_mean_PostDCA_positive,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z
AL_R,olfactory system,23,0.0669363001194896,0.5292201978295735,0.4941844921012275,-0.5190742045465716,-0.12106379944619992,-0.2007483607391431
AME_L,optic/lateral protocerebrum,1,0.003772548406603,-0.9129314380240079,-0.8837493341710643,0.332970305146668,-0.23682323507156933,1.0909132455175983
AOTU_L,optic/lateral protocerebrum,4,0.0275586782600697,0.3358423062789529,0.11547736937267888,-0.14326861968798973,-0.7742456429214037,-0.2518134498836001
AOTU_R,optic/lateral protocerebrum,3,0.0151695582829394,0.1937864823413751,0.14770491173469294,-0.10593359712290051,-0.44399063443530734,-0.33470506785490056
ATL_L,inferior/ventrolateral protocerebrum,1,0.0081194081525082,0.4941662464878906,0.3456617407118647,-0.19322066811144642,0.5590005327560763,0.0242352411674808
ATL_R,inferior/ventrolateral protocerebrum,1,0.0076843012696145,0.6664717223857193,0.48716744600096157,0.1843487723098413,0.29528097383036667,0.044916324538165964
AVLP_L,optic/lateral protocerebrum,34,0.017506590080857,-0.20632081426883703,0.038040704403675865,0.25338271354207825,-0.06380223038826714,-0.1241207892059566
AVLP_R,optic/lateral protocerebrum,28,0.0220640996038256,-0.48154520849318627,-0.20109898179396274,0.29811238420487235,-0.09726682087726846,-0.06127154260159612
CRE_L,inferior/ventrolateral protocerebrum,10,0.0207756652701866,0.49258774972658115,0.24262980133792916,-0.19897743265474946,-0.38731070687863733,-0.13118832840312442
CRE_R,inferior/ventrolateral protocerebrum,8,0.011210897585465,0.7783489746301799,0.5747203072684559,-0.3898466614519158,-0.41477227756756935,-0.20352330993265288
EPA_L,inferior/ventrolateral protocerebrum,1,0.0641271040364944,0.24828526383014365,-0.38844550671363065,-0.06986297148257496,-0.0981403578040059,-0.11309464940477235
EPA_R,inferior/ventrolateral protocerebrum,1,0.0143470987549166,0.14522490563044035,-0.0719259105594097,0.19831139345970367,-0.2754190610803956,-0.09484133665242392
IB_L,inferior/ventrolateral protocerebrum,3,0.0356146528386148,0.47328209426785145,-0.10524888097377759,-0.28434886973057666,0.2154478613962815,0.18858975046995807
IB_R,inferior/ventrolateral protocerebrum,4,0.0364638376026452,0.280281414347661,-0.02712326314469768,-0.10161997843708283,0.25112593004314904,0.0882987323837029
ICL_L,optic/lateral protocerebrum,8,0.0141316259929802,0.08900380602799435,-0.09568148162446793,0.10307459797119436,0.0009780292995987538,0.05700853919722854
ICL_R,optic/lateral protocerebrum,8,0.0142208345232401,0.11622763849165021,-0.09222110858642553,0.19895520498192887,-0.13264551855965248,-0.057760597308448305
LAL_L,inferior/ventrolateral protocerebrum,5,0.0372312491272941,0.9338720972254084,0.6788237919646585,-0.7303846027957182,0.027301388383576913,-0.12998557351131718
LAL_R,inferior/ventrolateral protocerebrum,9,0.023416134530816,0.4276925589265556,0.31261403838569063,-0.2702057064318898,-0.11923154733471335,-0.05477126818623863
LH_L,olfactory system,11,0.0154207396394683,0.12276486439791555,0.16513535488795375,-0.18598180811871126,-0.09350759069319045,-0.1865008366930855
LH_R,olfactory system,14,0.015880788129262,-0.23564890532826663,0.09223508196557396,0.20084407216232933,-0.1864521197577729,-0.12733201633888688
LO_R,optic/lateral protocerebrum,40,0.0119475088678664,-1.2719207685506952,-0.9978225976810011,0.34429791553721684,0.0329930956173807,0.23722430487084967
MB_L,mushroom body,16,0.1238445491944881,1.1774307976255625,0.8368632986780195,-0.9298565359586901,0.605592514026535,-0.20966124223344332
MB_R,mushroom body,16,0.0541119400368117,1.1032199014231605,0.9273538016365608,-0.7091342025385905,0.5253911270071349,-0.24112154787444465
ME_L,optic/lateral protocerebrum,131,0.0137407167826744,-1.3452554525872769,-1.2011232096240922,0.23133808096951364,-0.012375999351265599,0.6222479177153969
ME_R,optic/lateral protocerebrum,129,0.0062167920089693,-1.025157794029721,-0.7209556044806699,0.3041932353549951,0.0021373716687491363,-0.06358671630566233
NO,central complex,1,0.0034522715914941,0.3842221785831984,0.12332006365153156,0.16855943032280987,0.09647997744921324,-0.10706032352648745
PB,central complex,1,0.0033217601035986,0.5147165864432953,1.2859493847322712,-0.28110868528232624,1.1950819802544874,0.24719620136585435
PLP_L,optic/lateral protocerebrum,13,0.0247627492367811,0.12720931291718968,-0.01142873269110081,-0.014048519401760221,0.02525610036382917,0.17207296719318482
PLP_R,optic/lateral protocerebrum,15,0.0182239601527843,-0.21125308259900616,-0.19997824456456076,0.22098424113052503,-0.017879248555415,0.1676146216999104
PVLP_L,optic/lateral protocerebrum,11,0.0210877228173999,0.00861271572771738,-0.13634390839818328,0.05897493547134693,-0.06094393311307675,0.04761709068687066
PVLP_R,optic/lateral protocerebrum,17,0.0190223107650327,-0.4242474718994243,-0.45006861281578614,0.2596739988142276,-0.16112422672901658,0.054915518764378585
SIP_L,superior protocerebrum,7,0.026564468898378,0.16035950423744572,0.1530008699430057,0.08073215629189945,-0.15563818208537092,-0.13551157310267276
