fcv_metric,subset,n,spearman_rho,spearman_p,pearson_r,pearson_p
mean_FCV_all_other_z,all,464,0.27535550020742905,1.616001469282073e-09,0.3245518498413003,7.658958124575675e-13
mean_FCV_all_other_z,R,272,0.23711323348053537,7.8470356859798e-05,0.28757247506150463,1.4127950491529091e-06
mean_FCV_all_other_z,L,190,0.360024180236177,3.3613629387606864e-07,0.4279502997897729,7.328794273529077e-10
mean_FCV_all_other_z,midline,2,,,,
mean_FCV_excl_same_side_key_z,all,464,0.2699920422110747,3.416285180309986e-09,0.31372641573777826,4.679033789419373e-12
mean_FCV_excl_same_side_key_z,R,272,0.22945003551735021,0.00013463672995103185,0.27335536152243023,4.7630693917626115e-06
mean_FCV_excl_same_side_key_z,L,190,0.36043319966649523,3.2526165571845473e-07,0.42337118329364554,1.158297841594939e-09
mean_FCV_excl_same_side_key_z,midline,2,,,,
