side_key,big_group,n_rois,weighted_mean_PostDCA_positive,FCS_z,FCV_z,Metastability_z,NetTE_z,NeighborNetTE_z
AL_R,olfactory system,23,0.0669363001194896,0.5326192299714199,0.5437644393086327,-0.5190742045465716,-0.12106379944619992,-0.18560745492761566
AME_L,optic/lateral protocerebrum,1,0.003772548406603,-0.9110555467929299,-0.8572778289471491,0.332970305146668,-0.23682323507156933,1.187470662218724
AOTU_L,optic/lateral protocerebrum,4,0.0275586782600697,0.3498089259268369,0.12451916689833198,-0.14326861968798973,-0.7742456429214037,-0.29839407516985483
AOTU_R,optic/lateral protocerebrum,3,0.0151695582829394,0.19319182479794506,0.13887273162668998,-0.10593359712290051,-0.44399063443530734,-0.3524250670782935
ATL_L,inferior/ventrolateral protocerebrum,1,0.0081194081525082,0.49686003730413464,0.301033889516713,-0.19322066811144642,0.5590005327560763,-0.015819504728681984
ATL_R,inferior/ventrolateral protocerebrum,1,0.0076843012696145,0.6667786291990502,0.4835094951085178,0.1843487723098413,0.29528097383036667,-0.006899786034044744
AVLP_L,optic/lateral protocerebrum,34,0.017506590080857,-0.19469584055842593,0.058395415195867384,0.25338271354207825,-0.06380223038826714,-0.1111670802626996
AVLP_R,optic/lateral protocerebrum,28,0.0220640996038256,-0.47511869247080546,-0.18623813201912198,0.29811238420487235,-0.09726682087726846,-0.04957755601924866
CRE_L,inferior/ventrolateral protocerebrum,10,0.0207756652701866,0.48711487781686325,0.25827269797295566,-0.19897743265474946,-0.38731070687863733,-0.12935110521008378
CRE_R,inferior/ventrolateral protocerebrum,8,0.011210897585465,0.7694537142228894,0.5853891259290731,-0.3898466614519158,-0.41477227756756935,-0.20388286698907526
EPA_L,inferior/ventrolateral protocerebrum,1,0.0641271040364944,0.270619744582968,-0.3526299896549567,-0.06986297148257496,-0.0981403578040059,-0.046215186063065204
EPA_R,inferior/ventrolateral protocerebrum,1,0.0143470987549166,0.1588156132716379,-0.09469922873961892,0.19831139345970367,-0.2754190610803956,-0.09454734698956477
IB_L,inferior/ventrolateral protocerebrum,3,0.0356146528386148,0.4637965903262565,-0.13793035351129962,-0.28434886973057666,0.2154478613962815,0.21364361107569194
IB_R,inferior/ventrolateral protocerebrum,4,0.0364638376026452,0.27335838923230865,-0.06784329988317195,-0.10161997843708283,0.25112593004314904,0.058602734401812635
