roi,atlas_region,ito_neuropil_block,ito_block_order,base_region,side,side_order,label,plot_order,side_key,mean_FCV_all_other,mean_FCV_excl_same_side_key,n_available_targets,n_available_targets_excl_same_side_key,big_group,n_cells,n_postdca_cells,mean_DCA,median_DCA,mean_DCA_positive,median_DCA_positive,mean_PostDCA,median_PostDCA,weighted_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,weighted_PostDCA_positive,mean_mapping_confidence,mean_FCV_all_other_z,mean_FCV_excl_same_side_key_z,fcv_source,postdca_source
250,AL_R,AL,306,AL,R,0,AL_R_250,0,AL_R,0.27355687993165967,0.2731883444388633,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.0517104139020593,-0.0405249034372948,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
251,AL_R,AL,304,AL,R,0,AL_R_251,1,AL_R,0.2757941915172875,0.27541961423961714,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.6953985817119547,0.6050493984853603,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
252,AL_R,AL,319,AL,R,0,AL_R_252,2,AL_R,0.27504558971863424,0.2749548156378397,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.48002128545614847,0.4705690085407075,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
253,AL_R,AL,318,AL,R,0,AL_R_253,3,AL_R,0.277230770680024,0.27698650388266555,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,1.1087111552112894,1.0583982885026344,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
254,AL_R,AL,303,AL,R,0,AL_R_254,4,AL_R,0.2745303131351811,0.2742761679196596,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.33177307450111965,0.274215556901867,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
255,AL_R,AL,308,AL,R,0,AL_R_255,5,AL_R,0.2690330667747016,0.2689316055195216,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,-1.2498181801580597,-1.2721291027109953,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
256,AL_R,AL,307,AL,R,0,AL_R_256,6,AL_R,0.27485028521258104,0.2745049257399992,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.42383098971281935,0.3404021606578047,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
257,AL_R,AL,312,AL,R,0,AL_R_257,7,AL_R,0.27678783062742296,0.27630300324663104,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.9812746046923905,0.8606407399432486,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
258,AL_R,AL,320,AL,R,0,AL_R_258,8,AL_R,0.273453008454658,0.2734828221259799,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,0.021825957419362888,0.044676459135653684,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
259,AL_R,AL,316,AL,R,0,AL_R_259,9,AL_R,0.2786449485405037,0.27848594659139436,718,696,olfactory system,2608,2464,-0.0004501606873249,0.0,0.0012772040103911,0.0,0.0561545807743888,0.0313220148340448,0.0730352197635629,0.0669363001194896,0.0356353679117152,0.0857275920246856,0.9849493712215768,1.515578737633453,1.492232726468667,"Branson999 full FCV matrix, w15_step5_hp030",FlyWire783 cell-level side-aware median_PostDCA_positive
