roi,label,side_key,side,big_group,mean_FCV_excl_same_side_key_z,weighted_mean_PostDCA_positive,binary_mean_PostDCA_positive
130,CRE_R_130,CRE_R,R,inferior/ventrolateral protocerebrum,0.967212003340386,0.011210897585465,0.012292639775912583
131,CRE_R_131,CRE_R,R,inferior/ventrolateral protocerebrum,1.5184955059057057,0.011210897585465,0.012292639775912583
132,CRE_R_132,CRE_R,R,inferior/ventrolateral protocerebrum,0.4364808135800333,0.011210897585465,0.012292639775912583
133,CRE_R_133,CRE_R,R,inferior/ventrolateral protocerebrum,1.6725800707870546,0.011210897585465,0.012292639775912583
144,EPA_R_144,EPA_R,R,inferior/ventrolateral protocerebrum,-0.2261141730093719,0.0143470987549166,0.01490712950208048
909,IB_R_909,IB_R,R,inferior/ventrolateral protocerebrum,0.2984168388702038,0.0364638376026452,0.011976227003884355
910,IB_R_910,IB_R,R,inferior/ventrolateral protocerebrum,-0.467906515045608,0.0364638376026452,0.011976227003884355
911,IB_R_911,IB_R,R,inferior/ventrolateral protocerebrum,0.15184999755751,0.0364638376026452,0.011976227003884355
912,IB_R_912,IB_R,R,inferior/ventrolateral protocerebrum,0.7701726018409432,0.0364638376026452,0.011976227003884355
311,ICL_R_311,ICL_R,R,optic/lateral protocerebrum,-0.1906376051902504,0.0142208345232401,0.01294915203617017
312,ICL_R_312,ICL_R,R,optic/lateral protocerebrum,0.5675125827942424,0.0142208345232401,0.01294915203617017
313,ICL_R_313,ICL_R,R,optic/lateral protocerebrum,-0.1716350854469674,0.0142208345232401,0.01294915203617017
314,ICL_R_314,ICL_R,R,optic/lateral protocerebrum,0.2906844788835015,0.0142208345232401,0.01294915203617017
315,ICL_R_315,ICL_R,R,optic/lateral protocerebrum,-0.4635602573214746,0.0142208345232401,0.01294915203617017
316,ICL_R_316,ICL_R,R,optic/lateral protocerebrum,0.5309198426449774,0.0142208345232401,0.01294915203617017
317,ICL_R_317,ICL_R,R,optic/lateral protocerebrum,-0.1109469775582605,0.0142208345232401,0.01294915203617017
318,ICL_R_318,ICL_R,R,optic/lateral protocerebrum,0.4588153231458775,0.0142208345232401,0.01294915203617017
974,LAL_R_974,LAL_R,R,inferior/ventrolateral protocerebrum,1.4277327978951748,0.023416134530816,0.017949288146323288
975,LAL_R_975,LAL_R,R,inferior/ventrolateral protocerebrum,0.9055883095953008,0.023416134530816,0.017949288146323288
976,LAL_R_976,LAL_R,R,inferior/ventrolateral protocerebrum,0.4118021943950132,0.023416134530816,0.017949288146323288
977,LAL_R_977,LAL_R,R,inferior/ventrolateral protocerebrum,1.065433102704492,0.023416134530816,0.017949288146323288
978,LAL_R_978,LAL_R,R,inferior/ventrolateral protocerebrum,-0.027215105358168,0.023416134530816,0.017949288146323288
979,LAL_R_979,LAL_R,R,inferior/ventrolateral protocerebrum,0.1420678523518756,0.023416134530816,0.017949288146323288
980,LAL_R_980,LAL_R,R,inferior/ventrolateral protocerebrum,0.6291273895701807,0.023416134530816,0.017949288146323288
981,LAL_R_981,LAL_R,R,inferior/ventrolateral protocerebrum,-0.2896627663090643,0.023416134530816,0.017949288146323288
982,LAL_R_982,LAL_R,R,inferior/ventrolateral protocerebrum,1.9861915319854009,0.023416134530816,0.017949288146323288
824,LH_R_824,LH_R,R,olfactory system,1.6460123412361651,0.015880788129262,0.014877675976599048
825,LH_R_825,LH_R,R,olfactory system,1.3158271793904377,0.015880788129262,0.014877675976599048
826,LH_R_826,LH_R,R,olfactory system,-0.3639763961001359,0.015880788129262,0.014877675976599048
827,LH_R_827,LH_R,R,olfactory system,1.0945204616776842,0.015880788129262,0.014877675976599048
828,LH_R_828,LH_R,R,olfactory system,0.1165480427548467,0.015880788129262,0.014877675976599048
829,LH_R_829,LH_R,R,olfactory system,-0.9929480018121024,0.015880788129262,0.014877675976599048
830,LH_R_830,LH_R,R,olfactory system,-0.1622308653041507,0.015880788129262,0.014877675976599048
831,LH_R_831,LH_R,R,olfactory system,1.0307616613594932,0.015880788129262,0.014877675976599048
832,LH_R_832,LH_R,R,olfactory system,-0.6239313709574956,0.015880788129262,0.014877675976599048
833,LH_R_833,LH_R,R,olfactory system,-0.465795701992285,0.015880788129262,0.014877675976599048
834,LH_R_834,LH_R,R,olfactory system,1.073015910260125,0.015880788129262,0.014877675976599048
835,LH_R_835,LH_R,R,olfactory system,-1.8229991670220365,0.015880788129262,0.014877675976599048
836,LH_R_836,LH_R,R,olfactory system,0.7578660967388392,0.015880788129262,0.014877675976599048
837,LH_R_837,LH_R,R,olfactory system,1.6461936188284731,0.015880788129262,0.014877675976599048
633,LO_R_633,LO_R,R,optic/lateral protocerebrum,-2.029305631541084,0.0119475088678664,0.01237342945600445
634,LO_R_634,LO_R,R,optic/lateral protocerebrum,-0.6719447304477818,0.0119475088678664,0.01237342945600445
635,LO_R_635,LO_R,R,optic/lateral protocerebrum,-1.781428545015224,0.0119475088678664,0.01237342945600445
636,LO_R_636,LO_R,R,optic/lateral protocerebrum,-0.7090862200244286,0.0119475088678664,0.01237342945600445
637,LO_R_637,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
638,LO_R_638,LO_R,R,optic/lateral protocerebrum,-0.1812277232950896,0.0119475088678664,0.01237342945600445
639,LO_R_639,LO_R,R,optic/lateral protocerebrum,-2.049198486687916,0.0119475088678664,0.01237342945600445
640,LO_R_640,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
641,LO_R_641,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
642,LO_R_642,LO_R,R,optic/lateral protocerebrum,-1.583877965752338,0.0119475088678664,0.01237342945600445
643,LO_R_643,LO_R,R,optic/lateral protocerebrum,-0.5535831200071146,0.0119475088678664,0.01237342945600445
644,LO_R_644,LO_R,R,optic/lateral protocerebrum,-0.9283527873240356,0.0119475088678664,0.01237342945600445
645,LO_R_645,LO_R,R,optic/lateral protocerebrum,-0.98872538289997,0.0119475088678664,0.01237342945600445
646,LO_R_646,LO_R,R,optic/lateral protocerebrum,-1.2941026209684277,0.0119475088678664,0.01237342945600445
647,LO_R_647,LO_R,R,optic/lateral protocerebrum,-0.8596491133531818,0.0119475088678664,0.01237342945600445
