roi,label,side_key,side,big_group,mean_FCV_excl_same_side_key_z,weighted_mean_PostDCA_positive,binary_mean_PostDCA_positive
250,AL_R_250,AL_R,R,olfactory system,-0.1198650370959608,0.0669363001194896,0.04987524457539265
251,AL_R_251,AL_R,R,olfactory system,0.5508303908115991,0.0669363001194896,0.04987524457539265
252,AL_R_252,AL_R,R,olfactory system,0.378475544143773,0.0669363001194896,0.04987524457539265
253,AL_R_253,AL_R,R,olfactory system,0.9512445087655402,0.0669363001194896,0.04987524457539265
254,AL_R_254,AL_R,R,olfactory system,0.3087609255862119,0.0669363001194896,0.04987524457539265
255,AL_R_255,AL_R,R,olfactory system,-1.336564418672646,0.0669363001194896,0.04987524457539265
256,AL_R_256,AL_R,R,olfactory system,0.2382338311309156,0.0669363001194896,0.04987524457539265
257,AL_R_257,AL_R,R,olfactory system,0.6377376473432573,0.0669363001194896,0.04987524457539265
258,AL_R_258,AL_R,R,olfactory system,-0.0144293247408232,0.0669363001194896,0.04987524457539265
259,AL_R_259,AL_R,R,olfactory system,1.3321934868105634,0.0669363001194896,0.04987524457539265
260,AL_R_260,AL_R,R,olfactory system,0.6414979445109306,0.0669363001194896,0.04987524457539265
261,AL_R_261,AL_R,R,olfactory system,0.0500688379706134,0.0669363001194896,0.04987524457539265
262,AL_R_262,AL_R,R,olfactory system,1.7140384418616608,0.0669363001194896,0.04987524457539265
263,AL_R_263,AL_R,R,olfactory system,1.003183376703736,0.0669363001194896,0.04987524457539265
264,AL_R_264,AL_R,R,olfactory system,0.2829493128305462,0.0669363001194896,0.04987524457539265
265,AL_R_265,AL_R,R,olfactory system,2.029525428887941,0.0669363001194896,0.04987524457539265
266,AL_R_266,AL_R,R,olfactory system,0.632992947603852,0.0669363001194896,0.04987524457539265
267,AL_R_267,AL_R,R,olfactory system,0.770110292616613,0.0669363001194896,0.04987524457539265
268,AL_R_268,AL_R,R,olfactory system,0.8063273879407243,0.0669363001194896,0.04987524457539265
269,AL_R_269,AL_R,R,olfactory system,1.5132030037675632,0.0669363001194896,0.04987524457539265
270,AL_R_270,AL_R,R,olfactory system,-0.1078319266943121,0.0669363001194896,0.04987524457539265
271,AL_R_271,AL_R,R,olfactory system,1.4972996214076884,0.0669363001194896,0.04987524457539265
272,AL_R_272,AL_R,R,olfactory system,0.7893834493699634,0.0669363001194896,0.04987524457539265
158,ATL_R_158,ATL_R,R,inferior/ventrolateral protocerebrum,0.8997906975427217,0.0076843012696145,0.01248101921145336
188,AVLP_R_188,AVLP_R,R,optic/lateral protocerebrum,-0.0912495931004046,0.0220640996038256,0.01210526524760779
189,AVLP_R_189,AVLP_R,R,optic/lateral protocerebrum,-0.471991468729295,0.0220640996038256,0.01210526524760779
190,AVLP_R_190,AVLP_R,R,optic/lateral protocerebrum,-1.131498683399645,0.0220640996038256,0.01210526524760779
191,AVLP_R_191,AVLP_R,R,optic/lateral protocerebrum,-0.5063695855067726,0.0220640996038256,0.01210526524760779
192,AVLP_R_192,AVLP_R,R,optic/lateral protocerebrum,-0.5924630351404454,0.0220640996038256,0.01210526524760779
193,AVLP_R_193,AVLP_R,R,optic/lateral protocerebrum,0.034621439429387,0.0220640996038256,0.01210526524760779
194,AVLP_R_194,AVLP_R,R,optic/lateral protocerebrum,-0.1275731166448061,0.0220640996038256,0.01210526524760779
195,AVLP_R_195,AVLP_R,R,optic/lateral protocerebrum,-1.027718812492325,0.0220640996038256,0.01210526524760779
196,AVLP_R_196,AVLP_R,R,optic/lateral protocerebrum,0.1413691445159149,0.0220640996038256,0.01210526524760779
197,AVLP_R_197,AVLP_R,R,optic/lateral protocerebrum,-0.2045765385293222,0.0220640996038256,0.01210526524760779
198,AVLP_R_198,AVLP_R,R,optic/lateral protocerebrum,-1.2640377759713326,0.0220640996038256,0.01210526524760779
199,AVLP_R_199,AVLP_R,R,optic/lateral protocerebrum,-0.5161666608518425,0.0220640996038256,0.01210526524760779
200,AVLP_R_200,AVLP_R,R,optic/lateral protocerebrum,-0.6204591520455853,0.0220640996038256,0.01210526524760779
201,AVLP_R_201,AVLP_R,R,optic/lateral protocerebrum,-0.7199484639964208,0.0220640996038256,0.01210526524760779
202,AVLP_R_202,AVLP_R,R,optic/lateral protocerebrum,-0.9781047047188358,0.0220640996038256,0.01210526524760779
203,AVLP_R_203,AVLP_R,R,optic/lateral protocerebrum,-0.2866458722479829,0.0220640996038256,0.01210526524760779
204,AVLP_R_204,AVLP_R,R,optic/lateral protocerebrum,-0.5390045718209109,0.0220640996038256,0.01210526524760779
205,AVLP_R_205,AVLP_R,R,optic/lateral protocerebrum,-0.8726846753185911,0.0220640996038256,0.01210526524760779
206,AVLP_R_206,AVLP_R,R,optic/lateral protocerebrum,0.9556556572300456,0.0220640996038256,0.01210526524760779
207,AVLP_R_207,AVLP_R,R,optic/lateral protocerebrum,-0.8678911798914194,0.0220640996038256,0.01210526524760779
208,AVLP_R_208,AVLP_R,R,optic/lateral protocerebrum,-0.6035013927076893,0.0220640996038256,0.01210526524760779
209,AVLP_R_209,AVLP_R,R,optic/lateral protocerebrum,-1.4781671122768083,0.0220640996038256,0.01210526524760779
210,AVLP_R_210,AVLP_R,R,optic/lateral protocerebrum,2.0474748740076287,0.0220640996038256,0.01210526524760779
211,AVLP_R_211,AVLP_R,R,optic/lateral protocerebrum,1.0288840889214914,0.0220640996038256,0.01210526524760779
212,AVLP_R_212,AVLP_R,R,optic/lateral protocerebrum,1.0754951017856618,0.0220640996038256,0.01210526524760779
213,AVLP_R_213,AVLP_R,R,optic/lateral protocerebrum,-0.588231971575453,0.0220640996038256,0.01210526524760779
214,AVLP_R_214,AVLP_R,R,optic/lateral protocerebrum,1.8940528396086551,0.0220640996038256,0.01210526524760779
215,AVLP_R_215,AVLP_R,R,optic/lateral protocerebrum,-0.2509698020857424,0.0220640996038256,0.01210526524760779
126,CRE_R_126,CRE_R,R,inferior/ventrolateral protocerebrum,1.3215084457384805,0.011210897585465,0.012292639775912583
127,CRE_R_127,CRE_R,R,inferior/ventrolateral protocerebrum,-0.2353929102230146,0.011210897585465,0.012292639775912583
128,CRE_R_128,CRE_R,R,inferior/ventrolateral protocerebrum,0.7789693836788654,0.011210897585465,0.012292639775912583
129,CRE_R_129,CRE_R,R,inferior/ventrolateral protocerebrum,1.305028894097503,0.011210897585465,0.012292639775912583
130,CRE_R_130,CRE_R,R,inferior/ventrolateral protocerebrum,0.869792355674615,0.011210897585465,0.012292639775912583
131,CRE_R_131,CRE_R,R,inferior/ventrolateral protocerebrum,1.4729631827179794,0.011210897585465,0.012292639775912583
132,CRE_R_132,CRE_R,R,inferior/ventrolateral protocerebrum,0.3104833827429374,0.011210897585465,0.012292639775912583
133,CRE_R_133,CRE_R,R,inferior/ventrolateral protocerebrum,1.836117137122411,0.011210897585465,0.012292639775912583
144,EPA_R_144,EPA_R,R,inferior/ventrolateral protocerebrum,-0.1114291644905299,0.0143470987549166,0.01490712950208048
909,IB_R_909,IB_R,R,inferior/ventrolateral protocerebrum,0.3614582092752045,0.0364638376026452,0.011976227003884355
910,IB_R_910,IB_R,R,inferior/ventrolateral protocerebrum,-0.5839369055671184,0.0364638376026452,0.011976227003884355
911,IB_R_911,IB_R,R,inferior/ventrolateral protocerebrum,0.1854582307680012,0.0364638376026452,0.011976227003884355
912,IB_R_912,IB_R,R,inferior/ventrolateral protocerebrum,0.7060632733275106,0.0364638376026452,0.011976227003884355
311,ICL_R_311,ICL_R,R,optic/lateral protocerebrum,-0.2645074373753713,0.0142208345232401,0.01294915203617017
312,ICL_R_312,ICL_R,R,optic/lateral protocerebrum,0.6741537281005933,0.0142208345232401,0.01294915203617017
313,ICL_R_313,ICL_R,R,optic/lateral protocerebrum,-0.3937055004551146,0.0142208345232401,0.01294915203617017
314,ICL_R_314,ICL_R,R,optic/lateral protocerebrum,0.2001204078764379,0.0142208345232401,0.01294915203617017
315,ICL_R_315,ICL_R,R,optic/lateral protocerebrum,-0.2889354192345157,0.0142208345232401,0.01294915203617017
316,ICL_R_316,ICL_R,R,optic/lateral protocerebrum,0.5124319802331558,0.0142208345232401,0.01294915203617017
317,ICL_R_317,ICL_R,R,optic/lateral protocerebrum,-0.0975232111468714,0.0142208345232401,0.01294915203617017
318,ICL_R_318,ICL_R,R,optic/lateral protocerebrum,0.4886559829136055,0.0142208345232401,0.01294915203617017
974,LAL_R_974,LAL_R,R,inferior/ventrolateral protocerebrum,1.2335137292239386,0.023416134530816,0.017949288146323288
975,LAL_R_975,LAL_R,R,inferior/ventrolateral protocerebrum,0.6111736782341146,0.023416134530816,0.017949288146323288
976,LAL_R_976,LAL_R,R,inferior/ventrolateral protocerebrum,0.3658182997711364,0.023416134530816,0.017949288146323288
977,LAL_R_977,LAL_R,R,inferior/ventrolateral protocerebrum,0.8804470050782649,0.023416134530816,0.017949288146323288
978,LAL_R_978,LAL_R,R,inferior/ventrolateral protocerebrum,-0.2254544097689482,0.023416134530816,0.017949288146323288
979,LAL_R_979,LAL_R,R,inferior/ventrolateral protocerebrum,0.0225912420069051,0.023416134530816,0.017949288146323288
980,LAL_R_980,LAL_R,R,inferior/ventrolateral protocerebrum,0.3537084988641353,0.023416134530816,0.017949288146323288
981,LAL_R_981,LAL_R,R,inferior/ventrolateral protocerebrum,-0.3310440246163029,0.023416134530816,0.017949288146323288
982,LAL_R_982,LAL_R,R,inferior/ventrolateral protocerebrum,1.876244786671144,0.023416134530816,0.017949288146323288
824,LH_R_824,LH_R,R,olfactory system,1.688289389050419,0.015880788129262,0.014877675976599048
825,LH_R_825,LH_R,R,olfactory system,1.3173601874258298,0.015880788129262,0.014877675976599048
826,LH_R_826,LH_R,R,olfactory system,-0.2982862077881304,0.015880788129262,0.014877675976599048
827,LH_R_827,LH_R,R,olfactory system,1.0910360050481365,0.015880788129262,0.014877675976599048
828,LH_R_828,LH_R,R,olfactory system,0.1152921004164367,0.015880788129262,0.014877675976599048
829,LH_R_829,LH_R,R,olfactory system,-0.9799845766843228,0.015880788129262,0.014877675976599048
830,LH_R_830,LH_R,R,olfactory system,0.0041022312190233,0.015880788129262,0.014877675976599048
831,LH_R_831,LH_R,R,olfactory system,1.0392116660030095,0.015880788129262,0.014877675976599048
832,LH_R_832,LH_R,R,olfactory system,-0.4367385083975159,0.015880788129262,0.014877675976599048
833,LH_R_833,LH_R,R,olfactory system,-0.3123946820971036,0.015880788129262,0.014877675976599048
834,LH_R_834,LH_R,R,olfactory system,1.0022897575838317,0.015880788129262,0.014877675976599048
835,LH_R_835,LH_R,R,olfactory system,-1.9570410353541228,0.015880788129262,0.014877675976599048
836,LH_R_836,LH_R,R,olfactory system,0.5987178172774446,0.015880788129262,0.014877675976599048
837,LH_R_837,LH_R,R,olfactory system,1.753818614133946,0.015880788129262,0.014877675976599048
633,LO_R_633,LO_R,R,optic/lateral protocerebrum,-2.176307502443872,0.0119475088678664,0.01237342945600445
634,LO_R_634,LO_R,R,optic/lateral protocerebrum,-0.7392185928728026,0.0119475088678664,0.01237342945600445
635,LO_R_635,LO_R,R,optic/lateral protocerebrum,-1.89097345684452,0.0119475088678664,0.01237342945600445
636,LO_R_636,LO_R,R,optic/lateral protocerebrum,-0.6581992025194562,0.0119475088678664,0.01237342945600445
637,LO_R_637,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
638,LO_R_638,LO_R,R,optic/lateral protocerebrum,0.1434276118829384,0.0119475088678664,0.01237342945600445
639,LO_R_639,LO_R,R,optic/lateral protocerebrum,-2.1340832161114864,0.0119475088678664,0.01237342945600445
640,LO_R_640,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
641,LO_R_641,LO_R,R,optic/lateral protocerebrum,,0.0119475088678664,0.01237342945600445
642,LO_R_642,LO_R,R,optic/lateral protocerebrum,-1.4693341781164146,0.0119475088678664,0.01237342945600445
643,LO_R_643,LO_R,R,optic/lateral protocerebrum,-0.3792494351907023,0.0119475088678664,0.01237342945600445
644,LO_R_644,LO_R,R,optic/lateral protocerebrum,-0.9039310029833432,0.0119475088678664,0.01237342945600445
645,LO_R_645,LO_R,R,optic/lateral protocerebrum,-1.0820323662797209,0.0119475088678664,0.01237342945600445
646,LO_R_646,LO_R,R,optic/lateral protocerebrum,-1.1939486970952198,0.0119475088678664,0.01237342945600445
647,LO_R_647,LO_R,R,optic/lateral protocerebrum,-0.6130257913821904,0.0119475088678664,0.01237342945600445
648,LO_R_648,LO_R,R,optic/lateral protocerebrum,-1.1629784539598098,0.0119475088678664,0.01237342945600445
649,LO_R_649,LO_R,R,optic/lateral protocerebrum,-1.0490385506307618,0.0119475088678664,0.01237342945600445
650,LO_R_650,LO_R,R,optic/lateral protocerebrum,-0.5953565692534166,0.0119475088678664,0.01237342945600445
651,LO_R_651,LO_R,R,optic/lateral protocerebrum,-1.3640803804725454,0.0119475088678664,0.01237342945600445
