neuron,n_recordings_basic,FCS_z,FCV_z,Metastability_z,FCS,FCV,Metastability,cluster_label,cluster_sort
AIBR,16,1.7638407117231367,0.5274234007646147,0.11201716011647425,0.4243284911588046,0.29111443211577115,0.031871349404497075,M1,0
AIYL,3,-0.6547629725717663,0.27114186069876717,0.6507140013589068,0.26451655771396504,0.2760071617401403,0.03187677619994287,M1,0
AIYR,4,0.07737614762045708,-0.0786896569226358,0.4628018177668504,0.3127911524301489,0.2718976756395952,0.03218517426459557,M1,0
AIZL,15,-0.45395720790461574,0.5126460663739916,-0.11267768450900535,0.27941344236042287,0.29070503059453845,0.031081844252092934,M1,0
AIZR,16,-0.9483743811607999,-0.2873973601858972,0.04088615773131637,0.2474537854729452,0.2635927587518371,0.03232236738802659,M1,0
ASEL,14,-0.03897451723397144,0.912652100947864,0.5180721614529612,0.3022808212115133,0.30229120307557994,0.034750709854971036,M1,0
ASER,7,-0.23989614718103383,1.4933702573566963,0.10605711763287284,0.29666251212304706,0.32412917663682694,0.03169406132250569,M1,0
ASGR,12,0.3399090371810758,-0.5830078359268432,0.6434361403496325,0.3229715115708213,0.24720828189278135,0.03322645120399418,M1,0
ASIL,5,0.028940375674056808,2.048385528876019,-0.25931188455925536,0.3186414541057595,0.35082012946270014,0.029231553224588664,M1,0
ASIR,6,-0.18969917877898015,1.1604731548757277,0.30556811185218,0.2952898708237513,0.3145197810492994,0.035138596489466496,M1,0
AWAL,11,0.2814788640547371,1.3455116719476814,0.390551512662797,0.33060591822131163,0.32459313394058237,0.03645192222304459,M1,0
AWAR,10,-0.29483745827486635,0.4838935289519382,0.15558095278211825,0.2881074544993324,0.28801603951945703,0.03521543339033985,M1,0
AWBL,18,-0.41513078080891674,0.15455411644246916,0.16316618283449133,0.28400880301995857,0.279440824813182,0.03358379603989351,M1,0
AWBR,10,-0.662448184947772,0.1069380800284587,0.22661920644872308,0.26539392670714335,0.27650620626965117,0.032034068754373965,M1,0
AWCL,17,-0.26702188216199746,0.5427028941217626,0.16118113709493165,0.29404124197121173,0.2917049800173063,0.03405298756069723,M1,0
AWCR,10,-0.2821991451686215,0.05186354736380194,-0.0734244288755733,0.2815100188941553,0.26470042974550223,0.02848644195416226,M1,0
RIML,7,1.7321151330712234,0.3367007725585455,0.13473569166333357,0.42049599273418475,0.27711465241894684,0.03273701521474949,M1,0
RIR,4,0.176242064444116,1.3224445420771658,-0.22990207600754176,0.31780473606228854,0.31295907495149566,0.03459020555839766,M1,0
AIMR,4,0.6501032377061084,1.3190472438710779,0.4947187157414163,0.34708755009723247,0.3174599539988551,0.03008012946849346,M2,1
AINL,12,-0.04650993000610188,1.0626446036574329,-0.34297634209587374,0.2991736813373989,0.3046100786259682,0.030372069295088604,M2,1
AINR,11,-0.32870634725125203,0.461576805941561,-0.2337055700554882,0.28704253204925867,0.2849239847218119,0.02977516750924865,M2,1
ALA,2,-0.6413014606522776,0.5662209489251457,0.13482947833108427,0.2711131764748088,0.2842120069600508,0.036043290942338976,M2,1
ASKR,3,-0.7778251937922107,0.02023446348076119,0.3944017775922763,0.2616971872821509,0.2820528262785536,0.04779851688964456,M2,1
AUAL,16,0.3520089094623792,-0.2011927293574845,0.16849736740997812,0.3315179544169675,0.26538113070695746,0.03387791868973033,M2,1
AUAR,7,0.3325792283846442,-0.7271265886675303,0.32820468007104037,0.3267200445650124,0.24125487577263613,0.03346303651626736,M2,1
AVEL,12,1.898368996609774,-0.029842931873138568,0.2885504669742499,0.43262992824174745,0.2771922767719461,0.035083649953903596,M2,1
AVER,14,1.7248562475359244,0.09648687106083285,0.17703129576988816,0.42418324399719065,0.28090423114492963,0.03447149176433535,M2,1
AVKL,2,0.4937921581364022,1.373092568357067,1.2417156701817054,0.33640535862041476,0.3067044187401492,0.04391050793985886,M2,1
AVKR,2,-0.0582382019892282,0.9316280341214619,0.8102393719770498,0.29413179097966247,0.28587244701998415,0.027308665772506856,M2,1
AVL,5,-0.30836250411566424,0.18970953739340315,0.6690786557601237,0.2843259075777115,0.2619929976450993,0.036496044908670144,M2,1
BAGL,7,0.948619479522722,0.9860411283908148,0.5345440110706848,0.3667814563584866,0.31142478045940464,0.03669828516656767,M2,1
CEPVR,11,-0.43091292256951413,-0.8507585559771045,0.07315084687960875,0.27716136245300516,0.23965536722385475,0.0333266994429403,M2,1
OLLL,16,0.3977306355936417,0.7071164906824552,-0.8860121871521622,0.33682606698499523,0.29725001687091596,0.028940549017617626,M2,1
OLLR,17,0.5558917032007418,0.5812061834854277,-1.284962881246855,0.34755496563107174,0.2936634825737412,0.0267887657989542,M2,1
RIBL,10,1.5040639405760075,-0.1066926635954526,0.6952392729323841,0.4058981465123731,0.2646770473906814,0.03699360967474458,M2,1
RIBR,3,1.3433240885704631,-0.042434343323449975,0.4187462024939719,0.4001714910672384,0.2525414243696053,0.031208227751145567,M2,1
RID,14,1.1226963538285692,0.5195494737276298,0.6662215579049731,0.38397866604507697,0.29303886754917097,0.038645037701051085,M2,1
RIS,3,0.08168364603128567,0.48417402724758496,-0.5405089000085342,0.31085065498782466,0.2853332781843992,0.025997368475244365,M2,1
URBL,15,-0.15128785865024513,-0.4285422727686079,-0.6810903260070271,0.2961863186789538,0.25726655440882,0.028060141217723936,M2,1
URBR,9,-0.5643790302413261,-0.9724409286365723,0.07306077525032632,0.27155066500419267,0.24278440904310766,0.03336734579638414,M2,1
URXL,15,0.004297976418659773,-0.6770301610961516,0.3385432117432932,0.3137881466687214,0.25474524659073194,0.036277827911558494,M2,1
URXR,14,-0.594028116259733,-1.0314791063492665,0.4571228449646713,0.2758990741873236,0.2426040670951719,0.03756627397110275,M2,1
URYVL,17,0.9653393524836065,0.4251623161191783,-0.046832255584845425,0.37260964094239646,0.2867123273565073,0.03128913650827327,M2,1
