Region,Division,PostDCA,FCV,PostDCA_resid_division,FCV_resid_division,Division_model_pred,Division_PostDCA_model_pred
lP,Tel,1.4135202540935028,1.6872308753355327,-0.15091876696833384,-0.021626176328673585,1.7088570516642063,1.7175301995493657
lPO,Tel,1.7957509233219004,1.2108139781596083,0.23131190226006382,-0.498043073504598,1.7088570516642063,1.695563792143213
lSP,Tel,1.5596357643520038,1.9626505555874212,-0.004803256709832837,0.25379350392321487,1.7088570516642063,1.7091330899370591
rP,Tel,1.8272942983469753,1.6962352221765273,0.2628552772851387,-0.012621829487678982,1.7088570516642063,1.6937510264952742
rPO,Tel,1.7806666240949118,1.5638038459108217,0.2162276030330752,-0.14505320575338465,1.7088570516642063,1.6964306714622515
rSP,Tel,1.0097662621617327,2.1324078328153386,-0.5546727589001039,0.4235507811511323,1.7088570516642063,1.7407335303980844
lPT,Di,0.5497582596327428,-0.4621581638400582,0.54285416462919,-0.5282101023875634,0.06605193854750513,0.03485466239370161
lPrT,Di,-0.6677429424086583,-0.5793520729275252,-0.6746470374122111,-0.6454040114750303,0.06605193854750513,0.10482321691997698
lTh,Di,-0.16471318549501746,-0.05270535588760821,-0.17161728049857028,-0.11875729443511335,0.06605193854750513,0.07591460893179836
rPT,Di,0.8536909332998147,0.3562536293380608,0.8467868382962619,0.2902016907905557,0.06605193854750513,0.017387961076171354
rPrT,Di,-0.7848213417426516,0.11213427548540131,-0.7917254367462044,0.04608233693789618,0.06605193854750513,0.11155159333054177
rTh,Di,0.25525284673508336,1.0221393191167536,0.24834875173153054,0.9560873805692485,0.06605193854750513,0.051779588632840046
lTS,Mes,0.08709144859078931,-0.4601224024992584,0.29067943165117216,0.09793159815631569,-0.5580540006555741,-0.5747590516477623
lTeO,Mes,-0.1038140810300848,-0.4280444778201163,0.09977390203029804,0.1300095228354578,-0.5580540006555741,-0.5637879052240469
rTS,Mes,0.05313696839009436,-1.5925545612550613,0.2567249514504772,-1.0345005605994873,-0.5580540006555741,-0.5728077222401606
rTeO,Mes,-0.8507662681923321,0.24850543895213675,-0.6471782851319493,0.8065594396077108,-0.5580540006555741,-0.520861323510327
lCb,Hind,-0.11481891127949154,-0.7010586063108102,0.09279843727249057,-0.2057543625713678,-0.4953042437394424,-0.5006372754501025
lMOS1,Hind,0.3384260583671285,0.006587571521531282,0.5460434069191107,0.5018918152609737,-0.4953042437394424,-0.5266848024006356
lMOS2,Hind,0.11962533504004313,-0.4720052286654821,0.32724268359202524,0.02329901507396026,-0.4953042437394424,-0.514110547595112
lMOS3,Hind,-0.42454623596639507,0.7923178732771073,-0.21692888741441296,1.2876221170165496,-0.4953042437394424,-0.4828375614380782
lMOS4,Hind,0.31317281595961755,-0.5847176215726226,0.5207901645115997,-0.08941337783318026,-0.4953042437394424,-0.5252335242701562
lMOS5,Hind,0.2096724445220975,-0.146297950286614,0.4172897930740796,0.3490062934528284,-0.4953042437394424,-0.5192854632988211
lNX,Hind,0.666068384845088,-1.2144102658551343,0.8736857333970701,-0.719106022115692,-0.4953042437394424,-0.5455140733260775
lRa,Hind,0.05021250120248249,-0.42088809588312626,0.2578298497544646,0.07441614785631612,-0.4953042437394424,-0.5101214627046469
lT,Hind,-0.6848549638792367,-0.037960557856413904,-0.4772376153272546,0.4573436858830285,-0.4953042437394424,-0.46787788386889284
laRF,Hind,-0.46244179053991447,-0.6066537770287285,-0.25482444198793236,-0.1113495332892861,-0.4953042437394424,-0.48065974249873333
limRF,Hind,-1.3683395265943281,-0.8553907852209011,-1.160722178042346,-0.3600865414814587,-0.4953042437394424,-0.42859872191487236
lpRF,Hind,-0.5220884868454301,0.3332396970001691,-0.31447113829344797,0.8285439407396115,-0.4953042437394424,-0.4772319075891933
rCb,Hind,-0.4304184370319975,-0.5973031411080931,-0.2228010884800154,-0.10199889736865075,-0.4953042437394424,-0.4825000920214082
rMOS1,Hind,0.29805023404576353,-0.24889065679291275,0.5056675825977457,0.24641358694652962,-0.4953042437394424,-0.5243644448840796
rMOS2,Hind,1.0069592742323488,-1.1575703565464264,1.2145766227843309,-0.662266112806984,-0.4953042437394424,-0.5651047256733697
rMOS3,Hind,-0.46329573758645604,0.18572035529559022,-0.25567838903447393,0.6810245990350325,-0.4953042437394424,-0.48061066703138433
rMOS4,Hind,0.2586225175544825,-0.9522243671863724,0.4662398661064646,-0.45692012344693,-0.4953042437394424,-0.5220985741592368
rMOS5,Hind,0.27367766484726336,-0.3287056905303937,0.48129501339924546,0.16659855320904865,-0.4953042437394424,-0.5229637781462961
rNX,Hind,-0.5930490817192589,-1.2545930831882228,-0.38543173316727675,-0.7592888394487805,-0.4953042437394424,-0.473153874447771
rRa,Hind,-0.6748487386480764,-0.25311436029733103,-0.46723139009609427,0.24218988344211134,-0.4953042437394424,-0.4684529314454493
rT,Hind,-0.9601512703383656,0.02051465393134216,-0.7525339217863835,0.5158188976707845,-0.4953042437394424,-0.452056885419716
raRF,Hind,-0.5656609775509559,-1.721123224570196,-0.3580436289989738,-1.2258189808307536,-0.4953042437394424,-0.47472784091011055
rimRF,Hind,-1.4881896975689235,-1.3207401635957239,-1.2805723490169414,-0.8254359198562815,-0.4953042437394424,-0.42171105461010194
rpRF,Hind,0.23540025968494416,-0.35203406827684486,0.44301760823692626,0.14327017546259752,-0.4953042437394424,-0.5207640146423804
