feature_set,feature,weight
FC,FCS,-0.5450898358381092
FC,FCV,0.5756453787107938
FC,Metastability,0.3203268037984213
FC,Net TE,0.1535236162612667
FC,Neighbor TE,0.4953086985438882
SC,Clustering,-0.5457372715354144
SC,Modularity Q,0.31748431534432825
SC,Global Efficiency,-0.2290502633836619
SC,Post-DCA,0.6069380100791446
SC,Pre-DCA,-0.30265074029303485
SC,log10(Out/In-degree),0.2982269238894186
