Subject,Target,Variant,Metric,Transform,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,N,Level
12,PostDCA,rank,OO_fraction,none,0.6616606447290985,7.46687534120815e-07,0.5472990777338602,9.999188472555367e-05,45,subject
12,PostDCA,rank,ON_fraction,none,-0.7151875664891596,3.389892520533996e-08,-0.6230566534914361,4.854595566032773e-06,45,subject
12,PostDCA,rank,NO_fraction,none,0.7887248068783665,1.2416487379031997e-10,0.695520421607378,1.1405464889176814e-07,45,subject
12,PostDCA,rank,NN_fraction,none,-0.4674975074787614,0.0012040337521742862,-0.43689064558629764,0.002693912375345454,45,subject
12,PostDCA,rank,InterOutDegree,log10(x+1),-0.37245015959492134,0.011750785384048367,-0.4044795783926219,0.005854348393567965,45,subject
12,PreDCA,rank,OO_fraction,none,0.10028959657551748,0.5121541776047759,0.11212121212121211,0.4633853802322444,45,subject
12,PreDCA,rank,ON_fraction,none,0.06645095074829718,0.6645044773864559,0.06745718050065876,0.6597308842069534,45,subject
12,PreDCA,rank,NO_fraction,none,-0.008583245654643547,0.9553745616499937,0.0077733860342555985,0.9595814725191116,45,subject
12,PreDCA,rank,NN_fraction,none,-0.15054126137486268,0.3236015410786901,-0.24901185770750983,0.09904226279181194,45,subject
12,PreDCA,rank,InterOutDegree,log10(x+1),0.11366186157959876,0.4572242764391777,-0.020421607378129113,0.8940738762988346,45,subject
13,PostDCA,rank,OO_fraction,none,0.694887012040156,1.1841078701027163e-07,0.6268774703557313,4.079297696946501e-06,45,subject
13,PostDCA,rank,ON_fraction,none,-0.5316992979379106,0.00017088141264273138,-0.46139657444005266,0.0014221299584666449,45,subject
13,PostDCA,rank,NO_fraction,none,0.6799428030770829,2.791443265622306e-07,0.5806324110671937,2.8981343667375773e-05,45,subject
13,PostDCA,rank,NN_fraction,none,-0.5627102134334798,5.734136675926562e-05,-0.5666666666666665,4.9490360859990526e-05,45,subject
13,PostDCA,rank,InterOutDegree,log10(x+1),-0.5011778428289193,0.00045351785389027285,-0.6081686429512515,9.359419724946139e-06,45,subject
13,PreDCA,rank,OO_fraction,none,0.02374432468182101,0.8769622135526686,0.2118577075098814,0.16238070661952175,45,subject
13,PreDCA,rank,ON_fraction,none,0.1525617152240787,0.31707429906934803,0.10118577075098813,0.5083720923406098,45,subject
13,PreDCA,rank,NO_fraction,none,-0.014716361207123833,0.9235622997233374,0.014888010540184453,0.9226734246316719,45,subject
13,PreDCA,rank,NN_fraction,none,-0.1560008186496724,0.3061570026242038,-0.28893280632411067,0.05423480635567883,45,subject
13,PreDCA,rank,InterOutDegree,log10(x+1),0.10797875148965486,0.4801702623036906,-0.12187088274044795,0.42515580167224787,45,subject
14,PostDCA,rank,OO_fraction,none,0.7601595746623512,1.3889266590489082e-09,0.7177865612648221,2.865998785238839e-08,45,subject
14,PostDCA,rank,ON_fraction,none,-0.6764062991614507,3.394913649352455e-07,-0.6160737812911726,6.6327223022486176e-06,45,subject
14,PostDCA,rank,NO_fraction,none,0.7798700438163594,2.7264046069178674e-10,0.7100131752305664,4.709687651455187e-08,45,subject
14,PostDCA,rank,NN_fraction,none,-0.5080794248072903,0.0003666084430675424,-0.489855072463768,0.0006368158212233031,45,subject
14,PostDCA,rank,InterOutDegree,log10(x+1),-0.5331174517649039,0.0001629317559766351,-0.5137022397891962,0.00030723312836063724,45,subject
14,PreDCA,rank,OO_fraction,none,0.11743098759515258,0.4423402539688951,0.19934123847167326,0.18924600186731455,45,subject
14,PreDCA,rank,ON_fraction,none,0.2713785128438235,0.07135018290664158,0.31976284584980236,0.03225438144970174,45,subject
14,PreDCA,rank,NO_fraction,none,-0.14272841880927437,0.3496290649911783,-0.2198945981554677,0.14666260076080312,45,subject
14,PreDCA,rank,NN_fraction,none,-0.2619867199563439,0.08212013178076727,-0.3487483530961792,0.018880256386534722,45,subject
14,PreDCA,rank,InterOutDegree,log10(x+1),0.27458026249987355,0.06794531343770228,0.1482213438735178,0.3311995923862129,45,subject
15,PostDCA,rank,OO_fraction,none,0.6219893840137748,5.09427114219731e-06,0.6440052700922265,1.8156062774122412e-06,45,subject
15,PostDCA,rank,ON_fraction,none,-0.3652146791963538,0.013630079611930657,-0.494729907773386,0.0005510210029812912,45,subject
15,PostDCA,rank,NO_fraction,none,0.6048249705251848,1.0797007834385823e-05,0.5332015810276679,0.00016247087187076543,45,subject
15,PostDCA,rank,NN_fraction,none,-0.5639951106718888,5.467513402159011e-05,-0.5555994729907773,7.43657532692155e-05,45,subject
15,PostDCA,rank,InterOutDegree,log10(x+1),-0.5028440856882865,0.0004309897105518762,-0.4853754940711462,0.0007260197761318407,45,subject
15,PreDCA,rank,OO_fraction,none,0.0028498495697886622,0.9851766151829825,0.10329380764163373,0.4995316749763509,45,subject
