side_key,big_group,side,n_cells,n_postdca_cells,mean_DCA,median_DCA,mean_DCA_positive,median_DCA_positive,mean_PostDCA,median_PostDCA,weighted_PostDCA,mean_PostDCA_positive,median_PostDCA_positive,weighted_PostDCA_positive,mean_mapping_confidence
AL_R,olfactory system,R,2608,2464,-0.0004501606873249036,0.0,0.0012772040103911444,0.0,0.056154580774388875,0.03132201483404485,0.0730352197635629,0.06693630011948969,0.035635367911715246,0.08572759202468565,0.9849493712215769
AME_L,optic/lateral protocerebrum,L,24,23,0.00938284868338836,0.0,0.06175071438307406,0.0,0.0009690628463992256,0.0005392387849957,0.0031286628908945165,0.0037725484066030014,0.0022133410811218,0.006429128142190473,0.7044327766271429
AOTU_L,optic/lateral protocerebrum,L,601,519,0.01673443059154703,0.0134054593417428,0.02221325882764084,0.0134054593417428,-0.0015333589322050671,0.003645242915596,-0.012426220292826329,0.02755867826006976,0.0112126316815079,0.0232563439673152,0.8918257234286342
AOTU_R,optic/lateral protocerebrum,R,516,461,0.018941237220754525,0.01734640247921115,0.025044550467865752,0.01734640247921115,-0.0075090019444148835,-1.4925009859303676e-06,-0.01555907943521705,0.015169558282939486,0.0045744639100251,0.017894960206190535,0.6716676663774859
ATL_L,inferior/ventrolateral protocerebrum,L,42,38,-0.00636012409941871,0.0,0.025157364089186313,0.0,-0.025225968526103447,-1.2115351549307065e-06,-0.024293647032232198,0.008119408152508287,0.0006442997330360499,0.006041539002460595,0.4375515151095835
ATL_R,inferior/ventrolateral protocerebrum,R,23,23,-0.007673547361276579,1.6035080493090552e-18,0.047790288941456906,1.6035080493090552e-18,-0.022857583645851446,-0.0008131630509101,-0.027579887686374146,0.007684301269614561,0.0038748744689311,0.007685343573245886,0.4472311220942201
AVLP_L,optic/lateral protocerebrum,L,2005,1788,0.002558813870855942,0.0006125545526105,0.005151833901969755,0.0006125545526105,-0.005665498976547216,0.0001578790018266,-0.006773646725235946,0.01750659008085709,0.0058189537551086,0.01970419689312286,0.7483254036878222
AVLP_R,optic/lateral protocerebrum,R,2172,1954,0.001529294797404178,0.00053484263994835,0.004431281256092547,0.00053484263994835,-0.00510643669061359,0.0008561869309627,-0.005056039886152077,0.022064099603825615,0.00747647922850335,0.02398060305147423,0.7343042661906756
CRE_L,inferior/ventrolateral protocerebrum,L,704,675,0.00030898370261987074,7.844447145871609e-20,0.0024485271722526313,7.844447145871609e-20,-0.004986493087544542,-2.3454246205980272e-05,0.011521942898297256,0.020775665270186667,0.0041261662364546,0.023539705058218386,0.6330252132147755
CRE_R,inferior/ventrolateral protocerebrum,R,741,699,0.0005657400160054957,0.0,0.003782261036256656,0.0,-0.02425095601054752,-0.0001735843636379,-0.005838847093314991,0.011210897585465078,0.0023555101686606,0.00894467772799795,0.5888465443156256
