Subject,Region,RegionID,Division,PostDCA,NeuronCount,RegionwiseMetastability,GlobalMetastability,TraceSource,MetastabilityDefinition
12,lOB,20,Tel,0.8396904821626903,223,0.209685054144486,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lP,22,Tel,1.231407127758574,933,0.18051482278483616,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lPO,25,Tel,1.5972895725725633,425,0.14582811085408143,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lSP,28,Tel,1.3712731940440057,679,0.13989726344943426,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rP,58,Tel,1.6274838194004198,976,0.16046010301671532,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rPO,61,Tel,1.5828504374539252,382,0.13649410747301474,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rSP,64,Tel,0.8449219250677052,658,0.13937752235601858,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lHb,16,Di,2.3676084202295034,309,0.23310899439078453,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lPT,24,Di,0.4045887279983318,379,0.0978955536242464,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lPrT,26,Di,-0.760839251044076,407,0.0705153749729216,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lTh,30,Di,-0.27932436463978083,1186,0.13276581874283924,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rHb,52,Di,1.269284446459516,260,0.2100904846508575,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rPT,60,Di,0.6955220273189893,407,0.1593115725177437,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rPrT,62,Di,-0.8729101402526896,577,0.07567480708276043,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rTh,66,Di,0.12267948011021526,1297,0.13993324947556438,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lTS,32,Mes,-0.038289558822681,404,0.14915433045144583,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lTeO,29,Mes,-0.22102994971595435,6182,0.14711144619429117,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rTS,68,Mes,-0.0707917864782934,130,0.18470249538204392,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,rTeO,65,Mes,-0.9360345644680327,7358,0.16326959359940085,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lCb,1,Hind,-0.23156409707923123,1625,0.10729550133663043,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lMON,0,Hind,-0.1885718314625819,863,0.16625944752705074,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lMOS1,2,Hind,0.20229532589358945,1419,0.07581162821054058,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lMOS2,3,Hind,-0.007147165310974443,558,0.07988240300325591,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lMOS3,4,Hind,-0.5280442068802194,1297,0.09176480995566798,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lMOS4,5,Hind,0.1781221791123736,882,0.09281926530136847,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lMOS5,6,Hind,0.07904857777849517,1182,0.08395073567486917,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
12,lNX,35,Hind,0.5159242026090447,381,0.08379848217213445,0.04521054040336667,spot_data,var_t(mean_j cos(phi_i(t)-phi_j(t)))
