log10_OutIn_degree,FCV
0.8175093258313052,1.4765675127635711
0.3142424818074092,1.2922096000009429
0.1814633628026157,0.9733100039812468
-0.4406726628574514,0.1275469599346741
0.8088127936158276,-0.33855806696375546
-0.3662518523485051,-0.14652882499062408
-0.17679620800234877,-0.2249750146314621
-0.08852577853513584,-0.12369411708041102
0.4750588289005,0.13741669831593809
-0.09398140198501562,-0.14516614563768365
0.1920392514681655,-0.3064418235522952
0.26534434285286873,-0.24324998023434669
0.762388267410063,0.6931808994638551
-0.07514972579906895,-0.40974728941425337
-0.20485010942516765,0.16723591872199753
0.5426009185941443,-0.22856655663068257
0.30771439043783616,0.06489880299229586
-0.5310437488342998,0.3858873382488884
-0.11086700077181363,-0.15312016340330817
-0.09652437382524419,-0.6500644738301126
1.0475732913070908,1.5901980902059074
0.6827325389418192,1.2982368475377868
0.22861257041459984,1.2095911411369262
-0.13109679226667975,0.8470166820932488
-0.2457084935442398,0.40129219430853447
-0.08718351190484996,0.2378858084610249
-0.30450411993237314,0.3291686936736772
0.3289105675016852,0.1765583020810866
0.44797699526482154,-0.9031832522676869
-0.4609502777016889,-0.006600990996147362
0.052059587299825114,-0.23699093687275755
0.1382380582521066,-0.9892433711153367
0.5254995579318098,0.2871421871983159
-0.5027095340932212,-0.11890384343101511
-0.23638621361590065,-0.003773766879517058
-0.15245914900554275,-0.7212386106738954
0.49610837336652214,-0.47456486904457007
0.5388102542174003,-0.057199625966505206
-0.6979004342650807,-0.0728149626248753
-0.6598481652190796,-0.6120174939186303
-0.3749118713195116,-0.6769616814867152
