Region,FCS,FCS_SEM,FCV,FCV_SEM
lOB,-1.506690289943171,0.1728722717852646,1.407260957732723,0.1622191769252595
lSP,-0.5417336157586382,0.171153559038943,1.4765675127635711,0.12180092471759985
lP,-0.7303941007348806,0.14704887489698748,1.2922096000009429,0.10716235166784248
lPO,-0.09717306998857765,0.21262062951013713,0.9733100039812468,0.13880527803951448
rOB,-1.523825965438418,0.2044246308107721,1.220722495823288,0.23349200089631642
rSP,-0.3051454496770466,0.20010360104052693,1.5901980902059074,0.15739152790493852
rP,-0.5286417392270909,0.1683003833253483,1.2982368475377868,0.14543836625756623
rPO,0.1061864277250946,0.16790999416681665,1.2095911411369262,0.18693312052269284
lHb,-1.1758242018685414,0.15454451287921142,0.688355786679715,0.4100946013080273
lTh,0.4371432643544035,0.09741203971124661,0.1275469599346741,0.1460482092578269
lPT,0.8015507623046284,0.08925240459124777,-0.14652882499062408,0.23279521737818215
lPrT,1.0818613124318603,0.11319160518189443,-0.2249750146314621,0.1474511244595018
rHb,-0.975364219340598,0.17682118495254312,1.1480136115116515,0.205383125051762
rTh,0.5212253005316179,0.19467314393362142,0.8470166820932488,0.1365227401728208
rPT,0.8979787510673548,0.1498214622662179,0.40129219430853447,0.2522781759693626
rPrT,1.2761041880161261,0.09277362536848434,0.2378858084610249,0.20201628142975112
lTL,-1.0524964689876901,0.1991178965448981,-0.33855806696375546,0.32316348283103596
lTeO,-0.4625247055613061,0.18832959672679742,-0.12369411708041102,0.18279455991032476
lTS,-1.0079862241342092,0.17435960474233644,-0.14516614563768365,0.17876696505928955
rTeO,-0.21883228129596125,0.1567647961265934,0.3291686936736772,0.0538013572794782
rTS,-1.048469520829917,0.07911554225288708,-0.9031832522676869,0.25390608760184863
lT,0.9825024380166977,0.22019015106449,0.13741669831593809,0.09295726934902653
lCb,0.23855686187060238,0.10134859214699085,-0.3064418235522952,0.07386110716349276
laRF,0.7438033261047018,0.2382661665379476,-0.24324998023434669,0.23267716221656737
lMOS3,0.6977044790233918,0.18001474204849807,0.6931808994638551,0.2246590381930662
limRF,0.9963969052059233,0.19110888642641938,-0.40974728941425337,0.26829482961525625
lMOS1,0.8435211077567947,0.16485644047250958,0.16723591872199753,0.2668663349552008
lMON,-1.0766156367213822,0.16394919972284122,-0.3204615603628129,0.1547181526901582
lMOS4,1.3580404588461221,0.11318575717044092,-0.22856655663068257,0.22764285029719725
lMOS5,0.29121095168103583,0.1445513400654486,0.06489880299229586,0.18161991123411106
lpRF,0.6037072861490882,0.2883961920471632,0.3858873382488884,0.49708943424715
lMOS2,1.0285186589100253,0.2341373273248533,-0.15312016340330817,0.412018165034836
lNX,0.5731823185359879,0.3233131097874812,-0.6500644738301126,0.31244934947750824
rT,1.2291378700575208,0.12389553063434407,0.1765583020810866,0.1550808056080641
rRa,0.2023789532071229,0.24523708940218242,-0.006600990996147362,0.2275776264712692
rCb,0.5377215196061854,0.12004590423063938,-0.23699093687275755,0.1062277869383498
raRF,1.06467633715329,0.13431313756062518,-0.9892433711153367,0.17994124345987447
rMOS3,1.063598479204223,0.06411230235203201,0.2871421871983159,0.23077458330374487
lRa,0.3875171960848474,0.24358563753174767,-0.11890384343101511,0.1862351687508112
rMOS1,1.1011836436631974,0.171794403996213,-0.003773766879517058,0.32684273916200723
rimRF,1.2848749120263896,0.12686429186831116,-0.7212386106738954,0.3352686132234386
rMOS4,1.3184294748231788,0.07771377004305341,-0.47456486904457007,0.23740554166062108
rMON,-0.878914213788419,0.2139089497838387,-0.3427887715080514,0.25274544550078054
rMOS5,0.38975142634584753,0.15229999563286856,-0.057199625966505206,0.105814800367896
rpRF,0.8242733289115822,0.19498294226179036,-0.0728149626248753,0.4379186823343986
rMOS2,1.2467507838066842,0.21546899129126873,-0.6120174939186303,0.30287463680660726
rNX,0.9876731605837978,0.12939834305747827,-0.6769616814867152,0.2826796232044926
