Subject,StimulusIndex,Region,RegionID,Division,PostDCA,NeuronCount,FCV,NTimepoints,NWindows,TraceSource,FCVDefinition,WindowSize,Overlap
12,0,lOB,20,Tel,0.8396904821626903,223,0.15438378399773936,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lP,22,Tel,1.231407127758574,933,0.38937747070492795,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lPO,25,Tel,1.5972895725725633,425,0.22469591446728046,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lSP,28,Tel,1.3712731940440057,679,0.44674659817476864,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rP,58,Tel,1.6274838194004198,976,0.22348179845107738,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rPO,61,Tel,1.5828504374539252,382,0.17860464284366454,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rSP,64,Tel,0.8449219250677052,658,0.3302624817822118,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lHb,16,Di,2.3676084202295034,309,0.3551368407392652,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lPT,24,Di,0.4045887279983318,379,0.30485036466517595,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lPrT,26,Di,-0.760839251044076,407,0.2375012101993031,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lTh,30,Di,-0.27932436463978083,1186,0.4217133530475822,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rHb,52,Di,1.269284446459516,260,0.4518665701260073,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rPT,60,Di,0.6955220273189893,407,0.24178565047733871,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rPrT,62,Di,-0.8729101402526896,577,0.20848110601567793,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rTh,66,Di,0.12267948011021526,1297,0.21667018466215895,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lTS,32,Mes,-0.038289558822681,404,0.36649295066487714,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lTeO,29,Mes,-0.22102994971595435,6182,0.4003400304038637,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rTS,68,Mes,-0.0707917864782934,130,0.34640140917572215,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rTeO,65,Mes,-0.9360345644680327,7358,0.5456245159383911,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lCb,1,Hind,-0.23156409707923123,1625,0.23282723375298706,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lMON,0,Hind,-0.1885718314625819,863,0.20695606357266882,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lMOS1,2,Hind,0.20229532589358945,1419,0.18469654925830906,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lMOS2,3,Hind,-0.007147165310974443,558,0.2850867064356681,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lMOS3,4,Hind,-0.5280442068802194,1297,0.18748110273609342,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lMOS4,5,Hind,0.1781221791123736,882,0.1951840922899616,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lMOS5,6,Hind,0.07904857777849517,1182,0.19452615594609937,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lNX,35,Hind,0.5159242026090447,381,0.3007124680277583,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lRa,10,Hind,-0.07359117253107073,254,0.15482309846867703,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lT,11,Hind,-0.7772193815657938,1266,0.18111133769329305,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,laRF,12,Hind,-0.564318946902863,264,0.19110059399444548,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,limRF,13,Hind,-1.4314709184810288,382,0.2277636892766777,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,lpRF,14,Hind,-0.6214145198808102,485,0.24908192745319824,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rCb,37,Hind,-0.5336652505464933,1685,0.1757438227588576,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rMON,36,Hind,-0.20825183989935483,1120,0.17901634998269522,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rMOS1,38,Hind,0.16364639867929043,1483,0.1677537144932231,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rMOS2,39,Hind,0.8422349936180663,554,0.19953437420029993,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rMOS3,40,Hind,-0.5651363701456422,1496,0.19859702649859381,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rMOS4,41,Hind,0.12590502818072719,1113,0.17467693546080942,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rMOS5,42,Hind,0.14031625821006288,1530,0.1616251759575812,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rNX,71,Hind,-0.6893400895121092,484,0.15573761745121434,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rRa,46,Hind,-0.7676411283127857,201,0.15980278447854965,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rT,47,Hind,-1.0407411074881572,1437,0.19045309527205284,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,raRF,48,Hind,-0.6631233902290617,208,0.16738711380114532,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rimRF,49,Hind,-1.54619502907132,436,0.17979993341509432,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,0,rpRF,50,Hind,0.10367599956677641,535,0.19106927039071414,44,5,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lOB,20,Tel,0.8396904821626903,223,0.5074692158233068,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lP,22,Tel,1.231407127758574,933,0.3539799146991107,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lPO,25,Tel,1.5972895725725633,425,0.3261146268717631,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lSP,28,Tel,1.3712731940440057,679,0.3220522689304812,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rP,58,Tel,1.6274838194004198,976,0.37966912607179476,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rPO,61,Tel,1.5828504374539252,382,0.33211332322400494,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rSP,64,Tel,0.8449219250677052,658,0.32157613671664736,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lHb,16,Di,2.3676084202295034,309,0.39773604927002426,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lPT,24,Di,0.4045887279983318,379,0.32546041097888256,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lPrT,26,Di,-0.760839251044076,407,0.2882053388327858,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lTh,30,Di,-0.27932436463978083,1186,0.3107421695447318,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rHb,52,Di,1.269284446459516,260,0.3222378646804481,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rPT,60,Di,0.6955220273189893,407,0.3140996024669059,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rPrT,62,Di,-0.8729101402526896,577,0.29037046113499193,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rTh,66,Di,0.12267948011021526,1297,0.31790620368614847,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lTS,32,Mes,-0.038289558822681,404,0.3553042861567291,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lTeO,29,Mes,-0.22102994971595435,6182,0.35037186409720655,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rTS,68,Mes,-0.0707917864782934,130,0.3311986971772931,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rTeO,65,Mes,-0.9360345644680327,7358,0.3494108376882323,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lCb,1,Hind,-0.23156409707923123,1625,0.3342646581834064,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lMON,0,Hind,-0.1885718314625819,863,0.4115050667638514,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lMOS1,2,Hind,0.20229532589358945,1419,0.29272656637935784,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lMOS2,3,Hind,-0.007147165310974443,558,0.4065608072784976,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lMOS3,4,Hind,-0.5280442068802194,1297,0.2905169939569378,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lMOS4,5,Hind,0.1781221791123736,882,0.39255664447921695,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lMOS5,6,Hind,0.07904857777849517,1182,0.46983221469979614,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lNX,35,Hind,0.5159242026090447,381,0.39152284128870163,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lRa,10,Hind,-0.07359117253107073,254,0.567914767017459,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lT,11,Hind,-0.7772193815657938,1266,0.2978710923000297,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,laRF,12,Hind,-0.564318946902863,264,0.3564073596443799,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,limRF,13,Hind,-1.4314709184810288,382,0.32259131508818445,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,lpRF,14,Hind,-0.6214145198808102,485,0.35595946186269994,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rCb,37,Hind,-0.5336652505464933,1685,0.3029660655481999,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rMON,36,Hind,-0.20825183989935483,1120,0.3910227284477218,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rMOS1,38,Hind,0.16364639867929043,1483,0.29942946978398166,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rMOS2,39,Hind,0.8422349936180663,554,0.32294297438070885,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rMOS3,40,Hind,-0.5651363701456422,1496,0.33666169565387283,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rMOS4,41,Hind,0.12590502818072719,1113,0.3366911547637972,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rMOS5,42,Hind,0.14031625821006288,1530,0.45294320028798807,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rNX,71,Hind,-0.6893400895121092,484,0.43410162597784835,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rRa,46,Hind,-0.7676411283127857,201,0.5809561899308121,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rT,47,Hind,-1.0407411074881572,1437,0.28349011767089716,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,raRF,48,Hind,-0.6631233902290617,208,0.291887369471931,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
12,3,rimRF,49,Hind,-1.54619502907132,436,0.3333063380177203,1196,236,stim_data,std of sliding-window FC; same stimulus-index timepoints concatenated,20,15
