Tel,Di,Mes,Hind
-0.01517923565858712,0.1826173361041643,-0.43529276706549624,-0.07644959491545425
-0.02798714434278254,0.15310640332765224,-0.4983369260943596,-0.11180072939481832
0.02570048012815421,0.13066865464696337,-0.4150785042910157,-0.09864615290344941
-0.009558306619192174,0.11619906379247118,-0.475577134337242,-0.11404781206657791
-0.02242449560109221,0.10309147154666913,-0.45423965942148975,-0.12015401620444786
-0.008488105287025828,0.16472339172049608,-0.28215759253169254,-0.07265358551102996
0.008458585631867039,0.08679920322653781,-0.3540399856956438,-0.119747405653612
0.03628971405283923,0.005755048887717806,-0.0660817130245003,-0.10654923990948854
0.017339048542090656,-0.02988443060101932,-0.08038087227141695,-0.1164701778616765
0.033390843554373356,-0.02702333671096589,-0.09307601951666437,-0.10583914531939391
0.01921090458390019,-0.0921048341738011,-0.08910002457299428,-0.08946912615767824
0.04262691531517572,-0.0937144288861103,-0.07956104785042664,-0.12599440766771258
0.027358205490334013,-0.040369756345252424,-0.1048518186740416,-0.08967232220956999
0.02726505089345224,-0.053112194750053715,-0.10339999990626135,-0.10726799793478586
0.0919157179043068,-0.1626158030509389,-0.14539281943886534,-0.08201660919892462
0.06220511520199553,-0.14797541342437823,-0.09751668177392789,-0.06550750288487289
0.0537142900216677,-0.13933833672895507,-0.052825527178593665,-0.07794853201456094
0.052210787786178256,-0.12233590220421675,-0.017716539932304546,-0.04832250160582597
0.06147345784984919,-0.15339397330685925,-0.03579300267179775,-0.03162050223765198
0.053998339020652875,-0.1689475483796917,-0.11154818920923501,-0.06579699788481592
0.0642389239586669,-0.18844551823323613,-0.176647702977756,-0.08987632076213065
-0.10715461121249406,-0.07007278611083301,,-0.09241824441304652
-0.10143242176532097,-0.10046933256550136,,-0.08873064818867203
-0.10062236317553008,-0.09018724647953813,,-0.07259868576834254
-0.1087416541809039,-0.13095554858797198,,-0.08895928641982029
-0.09603063237111281,-0.12184709424681907,,-0.07901646061559567
-0.09916081170717254,-0.11240702483002792,,-0.04319999881190216
-0.12131728506917083,-0.1461655378252019,,-0.1314173444873912
0.00644874789388332,0.05280182599837877,,-0.11239884647281821
0.0035405758544239624,0.03892527384722447,,-0.16553088306689964
-5.515656443748415e-07,0.03293072958130725,,-0.1118444882366663
0.0,0.03117920098537129,,-0.13655201866358915
0.019181086125465815,0.02582114817388099,,-0.14579995307347574
-0.026270661286863707,0.010940371234469096,,-0.12503189413193982
-0.008175649039217005,0.035342173152631266,,-0.13556232870276455
0.09468804849454926,0.008520887999949328,,-0.052902272535541806
0.09572318828941365,-0.026003473126952482,,-0.13206621115508432
0.05026716046153035,-0.025324426500016633,,-0.05308456782003917
0.054240690454014376,0.008960808553833481,,-0.06422110890865987
0.05283845105100709,-0.016458937802068068,,-0.05648548029970536
0.047954859536615525,-0.0452016489712559,,-0.05286618733477189
0.06354277577246004,-0.04707111189973587,,-0.06507343436776714
0.08132255901045474,-0.15495507624211696,,-0.0615517628140393
0.05936885061664612,-0.1852719257462308,,-0.10038728017996243
0.047200553179726844,-0.13481570846472604,,-0.07684575326112508
0.055293480331994646,-0.15223024464425583,,-0.08371718457157849
0.07393680163390878,-0.1663943888844794,,-0.07516953138898606
0.0579239263616872,-0.16832399775527884,,-0.06200959357981391
0.055386098629403996,-0.19343318486306868,,-0.08099692778229585
-0.16643633455322804,-0.06040786997513427,,-0.0941991176457308
-0.18361193953968294,-0.09737320544090323,,-0.05552217632204511
-0.14881315626407746,-0.07381836598837378,,-0.07432402800263976
-0.15795227929617214,-0.02851497545282934,,-0.12598334976444725
-0.17400106479011426,-0.05130362172189481,,-0.09919877948252667
-0.1800561454917293,-0.09480865299490238,,-0.08818462302625896
-0.18531747349615751,-0.10627580908643446,,-0.10183614879854451
,,,-0.15586948889476132
,,,-0.1358078999770627
,,,-0.14451601432305833
,,,-0.14599949946114485
,,,-0.16322005364437955
,,,-0.16964505671463723
,,,-0.17857228112188236
,,,-0.0817508654249998
,,,-0.13011878619082706
,,,-0.1285145209838117
,,,-0.16580281523337448
,,,-0.1621507672368361
,,,-0.13132202068018833
,,,-0.15648577971812183
,,,-0.19714642753469272
,,,-0.19625819296230382
,,,-0.18281801157794808
,,,-0.2287084634312099
,,,-0.24854134130654945
,,,-0.21671581616191612
,,,-0.24593813290979663
,,,-0.13404715046484086
,,,-0.1361545657252344
,,,-0.1440240314931511
,,,-0.1519524251014121
,,,-0.16783600590655334
,,,-0.11429524557233281
,,,-0.1447067460647901
,,,-0.0464494764794686
,,,0.0024243423318859327
,,,-0.04227041195186333
,,,-0.05470595748674566
,,,-0.06115207783838232
,,,-0.00796284323442077
,,,-0.04844038541977147
,,,-0.08815382171166279
,,,-0.20930063678057292
,,,-0.08631997701476772
,,,-0.1331131312115899
,,,-0.08762708414890398
,,,-0.05552517079499226
,,,-0.06616823634388184
,,,-0.14443353152838792
,,,-0.1816676796172921
,,,-0.12419219283090692
,,,-0.11662168993261096
,,,-0.15291651305643944
,,,-0.09600805475054285
,,,-0.12051065265977742
,,,-0.08478567067056242
,,,-0.07005367181413336
,,,-0.06296560728662703
,,,-0.04267424564879867
,,,-0.09020572155076338
,,,-0.054371956298828926
,,,-0.08099041558035895
,,,-0.01209440529383328
,,,-0.01250699379801486
,,,-0.022148443179980735
,,,0.006905278667598618
,,,-0.004142553074956973
,,,0.00504262990842784
,,,-0.008890565516850767
,,,-0.1228600288499248
,,,-0.16751997731344004
,,,-0.1298749517974565
,,,-0.11540116235366815
,,,-0.1234095537590632
,,,-0.14295940861832004
,,,-0.15464834027967223
,,,-0.04334839578580118
,,,-0.13191746255371375
,,,-0.06440934877187471
,,,-0.06969470815820696
,,,-0.06133459839468388
,,,-0.07248099991584149
,,,-0.06723402452444951
,,,-0.04516696903473471
,,,-0.14573064960067036
,,,-0.05867872979753997
,,,-0.07398296298046612
,,,-0.06810601098004165
,,,-0.04576738302490918
,,,-0.06368049097950709
,,,-0.18895642748442526
,,,-0.1327082017447375
,,,-0.15528591418636847
,,,-0.16212049075059878
,,,-0.1370638096915842
,,,-0.1461691457920889
,,,-0.16514095476025206
,,,-0.19289001532705083
,,,-0.14154171035280894
,,,-0.16255160988156744
,,,-0.16289711773810578
,,,-0.1736175204198269
,,,-0.20919598318344085
,,,-0.22111079309814968
,,,-0.15412022331358122
,,,-0.20085547430843065
,,,-0.1519067480302497
,,,-0.12538004874029093
,,,-0.1373698696643998
,,,-0.12258123054169182
,,,-0.1277369178275511
,,,-0.24395857140196447
,,,-0.21245728598501193
,,,-0.21170405776543588
,,,-0.18636719310691816
,,,-0.20653424376045526
,,,-0.2629698239542741
,,,-0.2662206122651467
,,,-0.08888345412571014
,,,-0.07905727850220001
,,,-0.07970833287058547
,,,-0.0534122728386219
,,,-0.07656564472832825
,,,-0.06259509216543456
,,,-0.08455230528952819
,,,-0.10998049778030027
,,,-0.1292518716497874
,,,-0.12417798355644347
,,,-0.19233695358547623
,,,-0.12199754906415514
,,,-0.1516186655233491
,,,-0.2075169522383181
